Tempo (ms);Valor
1741001;14498
1741010;14408
1741019;14084
1741027;14555
1741035;13931
1741043;10896
1741052;6478
1741060;4945
1741068;11321
1741076;15760
1741084;15478
1741093;14802
1741101;14482
1741109;14266
1741117;13974
1741125;13809
1741134;13730
1741142;13618
1741150;13594
1741158;13503
1741166;13460
1741175;13375
1741183;13369
1741191;13249
1741199;13193
1741207;13013
1741215;12958
1741224;12752
1741232;12610
1741240;12328
1741248;12144
1741256;11809
1741265;11734
1741273;11601
1741284;11712
1741292;11864
1741300;11970
1741309;12253
1741317;12639
1741325;13062
1741334;13441
1741342;13769
1741351;14012
1741359;14181
1741367;14295
1741375;14247
1741383;14263
1741392;14191
1741400;14195
1741408;14107
1741416;14109
1741424;14006
1741433;14044
1741441;13930
1741449;13966
1741457;13875
1741465;13905
1741474;13790
1741482;13893
1741490;13834
1741498;13867
1741506;13722
1741514;13815
1741523;13737
1741531;13797
1741539;13691
1741547;13786
1741555;13691
1741567;13819
1741575;13846
1741583;13737
1741591;13497
1741599;13456
1741608;13399
1741616;13460
1741624;13414
1741632;13482
1741640;13482
1741650;13638
1741658;13656
1741666;13712
1741674;13639
1741682;13684
1741691;13622
1741699;13723
1741707;13659
1741715;13708
1741723;13561
1741732;14018
1741740;13871
1741748;11457
1741756;6939
1741764;4579
1741773;9238
1741781;15432
1741789;15506
1741797;14941
1741805;14477
1741814;14419
1741822;14022
1741830;14001
1741838;13799
1741849;13855
1741858;13807
1741866;13761
1741874;13644
1741882;13662
1741890;13524
1741898;13464
1741907;13266
1741915;13205
1741923;13019
1741931;12960
1741939;12715
1741948;12565
1741956;12224
1741964;12087
1741972;11836
1741981;11899
1741990;11827
1741998;11987
1742006;12045
1742014;12442
1742022;12768
1742031;13355
1742039;13730
1742047;14169
1742055;14265
1742063;14512
1742072;14496
1742080;14627
1742088;14476
1742096;14566
1742104;14440
1742113;14534
1742121;14364
1742161;16248
1742169;15842
1742177;15431
1742185;15064
1742193;14875
1742202;14547
1742210;14386
1742218;14163
1742226;14089
1742234;13912
1742243;13821
1742251;13668
1742259;13633
1742267;13533
1742275;13500
1742284;13443
1742292;13391
1742300;13326
1742309;13313
1742317;13288
1742326;13237
1742334;13271
1742342;13165
1742350;13117
1742358;12977
1742366;12971
1742375;12957
1742383;13087
1742391;13063
1742399;13148
1742407;13171
1742416;13300
1742424;13313
1742432;13448
1742443;13459
1742451;13455
1742460;13443
1742468;13368
1742476;13281
1742484;13175
1742492;13176
1742501;13683
1742509;12397
1742517;8718
1742525;5243
1742533;6355
1742542;13881
1742550;15322
1742558;14702
1742566;14163
1742574;14013
1742583;13827
1742591;13598
1742599;13587
1742607;13528
1742615;13516
1742623;13382
1742632;13396
1742640;13311
1742649;13353
1742657;13216
1742665;13224
1742674;13072
1742682;13093
1742690;12886
1742698;12776
1742706;12501
1742715;12347
1742723;12001
1742734;11867
1742742;11838
1742750;11835
1742759;11891
1742767;11994
1742775;12181
1742783;12477
1742791;12865
1742800;13334
1742808;13690
1742816;14047
1742824;14251
1742832;14465
1742841;14519
1742849;14643
1742857;14558
1742865;14582
1742873;14430
1742882;14444
1742890;14334
1742898;14394
1742906;14276
1742914;14294
1742922;14159
1742931;14194
1742939;14103
1742947;14169
1742955;14059
1742963;14140
1742973;13996
1742981;14080
1742989;13938
1742997;13997
1743005;13855
1743016;13996
1743025;13982
1743033;13951
1743041;13857
1743049;13876
1743058;13800
1743066;13861
1743074;13756
1743082;13781
1743090;13722
1743099;13765
1743107;13710
1743115;13792
1743123;13728
1743131;13714
1743140;13514
1743148;13513
1743156;13436
1743164;13567
1743172;13498
1743181;13592
1743189;13488
1743197;13645
1743205;13618
1743213;13808
1743222;13690
1743230;13785
1743238;13694
1743246;13818
1743254;13701
1743262;13742
1743271;13558
1743279;13830
1743288;13914
1743298;11029
1743306;7412
1743315;6230
1743323;12397
1743331;16232
1743340;15622
