Tempo (ms);Valor
1020573;4707
1020582;7755
1020590;15104
1020598;15705
1020606;15073
1020614;14626
1020623;14398
1020631;14161
1020639;13903
1020647;13753
1020655;13668
1020664;13590
1020672;13434
1020680;13370
1020688;13224
1020696;13109
1020705;13102
1020713;12984
1020721;12977
1020730;12905
1020738;12684
1020746;12363
1020755;12156
1020763;11853
1020771;11756
1020779;11644
1020787;11748
1020796;11800
1020804;12015
1020812;12186
1020820;12621
1020828;13017
1020837;13466
1020845;13731
1020856;14175
1020864;14441
1020872;14498
1020881;14528
1020889;14411
1020897;14410
1020905;14344
1020913;14248
1020922;14201
1020930;14109
1020938;13956
1020946;13857
1020954;13789
1020963;13666
1020971;13671
1020979;13684
1020987;13743
1020995;13730
1021004;13734
1021012;13655
1021020;13665
1021028;13460
1021036;13448
1021046;13396
1021054;13494
1021062;13457
1021070;13587
1021078;13566
1021086;13771
1021095;13707
1021103;13785
1021111;13670
1021119;13751
1021127;13608
1021139;13707
1021147;13637
1021155;13565
1021163;14077
1021171;12201
1021180;7850
1021188;4239
1021196;6856
1021204;14581
1021212;15305
1021221;14821
1021229;14392
1021237;14394
1021245;14130
1021253;14057
1021262;13959
1021270;13947
1021278;13821
1021286;13899
1021294;13831
1021303;13861
1021311;13722
1021319;13735
1021327;13538
1021335;13535
1021343;13296
1021352;13216
1021360;12867
1021369;12736
1021377;12432
1021385;12402
1021394;12244
1021402;12410
1021410;12434
1021421;12813
1021430;13122
1021438;13493
1021446;13889
1021454;14302
1021462;14593
1021470;14869
1021479;14946
1021487;15115
1021495;14989
1021503;15012
1021511;14932
1021520;14975
1021528;14860
1021536;14888
1021544;14766
1021552;14810
1021561;14641
1021569;14646
1021577;14543
1021585;14630
1021593;14539
1021602;14641
1021610;14514
1021618;14510
1021626;14206
1021634;14150
1021642;14026
1021651;14139
1021659;14038
1021667;14255
1021676;14190
1021684;14361
1021693;14388
1021703;14684
1021711;14428
1021719;14427
1021729;14329
1021737;14357
1021745;14272
1021753;14238
1021761;14154
1021769;14765
1021778;12943
1021786;8919
1021794;5657
1021802;7853
1021810;15512
1021819;16283
1021827;15469
1021835;14980
1021843;14656
1021851;14574
1021860;14287
1021868;14262
1021876;14055
1021884;14073
1021892;13908
1021901;13953
1021909;13803
1021917;13846
1021925;13668
1021933;13688
1021942;13413
1021950;13354
1021958;13052
1021966;12925
1021974;12544
1021982;12411
1021994;12197
1022002;12274
1022010;12223
1022018;12364
1022026;12359
1022035;12699
1022044;12942
1022052;13428
1022060;13735
1022068;14135
1022077;14226
1022085;14416
1022093;14359
1022101;14488
1022109;14387
1022118;14497
1022126;14326
1022134;14406
1022142;14224
1022150;14269
1022159;14106
1022167;14132
1022175;13963
1022183;14070
1022191;13928
1022200;14056
1022208;13878
1022216;13938
1022224;13622
1022232;13615
1022241;13440
1022249;13575
1022257;13499
1022265;13636
1022276;13669
1022285;13906
1022293;13880
1022301;13969
1022309;13856
1022317;13952
1022326;13823
1022334;13848
1022342;13647
1022351;13664
1022359;13520
1022367;14275
1022376;12772
1022384;8916
1022392;5049
1022400;6219
1022408;14125
1022417;15562
1022425;14823
1022433;14418
1022441;14008
1022449;13906
1022458;13523
1022466;13497
1022474;13324
1022482;13406
1022490;13223
1022499;13287
1022507;13093
1022515;13095
1022523;12872
1022531;12894
1022540;12638
1022548;12592
1022559;12337
1022567;12337
1022575;12018
1022584;11940
1022592;11743
1022600;11833
1022608;11786
1022616;12018
1022625;12052
1022633;12491
1022641;12764
1022649;13345
1022657;13599
1022665;14001
1022675;14087
1022683;14349
1022691;14292
1022699;14433
1022707;14282
1022716;14374
1022724;14203
1022732;14267
1022740;14090
1022748;14144
1022757;14033
1022765;14105
1022773;13935
1022781;13986
1022789;13891
1022798;14031
1022806;13937
1022814;14009
1022822;13938
1022830;13894
1022842;13635
1022850;13840
1022858;13667
1022866;13805
1022874;13741
1022883;13904
1022891;13819
1022899;14030
1022907;13948
1022915;14019
1022924;13850
1022932;13980
1022940;13755
1022948;13809
1022956;13639
1022964;13620
1022973;14183
1022981;13432
1022989;9615
1022997;5284
1023006;4794
1023015;12740
1023023;15428
1023031;15127
1023039;14521
1023047;14488
1023056;14140
1023064;14006
1023072;13818
1023080;13794
1023088;13627
1023097;13633
1023105;13549
1023113;13564
1023124;13372
1023132;13433
1023141;13200
1023149;13207
1023157;12911
1023165;12844
1023173;12499
1023182;12380
1023190;12045
1023198;12078
1023206;11879
1023214;11952
1023223;12024
1023231;12356
1023239;12476
1023247;12925
1023255;13201
1023263;13654
1023272;13860
1023280;14158
1023288;14213
1023296;14344
1023304;14253
1023313;14314
1023321;14271
1023330;14320
1023338;14203
1023346;14279
1023355;14233
1023363;14281
1023371;14180
1023379;14178
1023387;14118
1023396;14125
1023404;14097
1023415;14269
1023423;14165
1023431;14177
1023440;13856
1023448;13788
1023456;13594
1023464;13691
1023472;13571
1023481;13711
1023489;13679
1023497;13860
1023505;13833
1023513;14028
1023522;13963
1023530;14019
1023538;13929
1023546;13976
1023554;13877
1023562;13860
1023571;13640
1023579;14157
1023587;13906
1023595;10924
1023603;6249
1023612;4162
1023620;10373
1023628;15363
1023636;15171
1023644;14637
1023654;14412
1023662;14197
1023670;13971
1023678;13788
1023686;13750
1023697;13700
1023706;13602
1023714;13653
1023722;13433
1023730;13348
1023739;13243
1023747;13179
1023755;12994
1023763;12901
1023771;12697
1023780;12540
1023788;12307
1023796;12118
1023804;11877
1023812;11813
1023821;11835
1023829;11954
1023837;12085
1023845;12246
1023853;12587
1023862;12979
1023870;13414
1023878;13725
1023886;14012
1023894;14140
1023902;14302
1023911;14311
1023919;14382
1023927;14269
1023935;14282
1023943;14157
1023952;14190
1023960;14148
1023969;14193
1023979;14168
