Tempo (ms);Valor
1380799;15206
1380807;14728
1380816;14163
1380824;13677
1380832;13219
1380840;12796
1380848;12402
1380857;12054
1380865;11853
1380873;11708
1380881;11667
1380889;11726
1380898;11893
1380906;12142
1380914;12544
1380922;12855
1380930;13231
1380940;13424
1380948;13637
1380956;13648
1380964;13732
1380972;13640
1380980;13693
1380989;13572
1380997;13584
1381005;13471
1381013;13498
1381021;13331
1381030;13378
1381038;13225
1381046;13281
1381054;13243
1381062;13337
1381074;13331
1381082;13366
1381090;13315
1381098;13251
1381106;13170
1381115;13159
1381123;13109
1381131;13143
1381139;13088
1381147;13088
1381156;12977
1381164;13045
1381172;12880
1381180;12853
1381188;12671
1381197;12749
1381205;12731
1381213;12894
1381221;12865
1381229;13052
1381238;13049
1381246;13268
1381255;13272
1381263;13351
1381271;13269
1381279;13360
1381288;13265
1381296;13353
1381304;13277
1381312;13314
1381320;13785
1381329;13407
1381337;10391
1381345;6584
1381353;5258
1381364;14264
1381373;15706
1381381;15150
1381389;14458
1381397;14293
1381405;13965
1381414;13892
1381422;13753
1381430;13830
1381438;13712
1381446;13760
1381455;13648
1381463;13695
1381471;13541
1381479;13602
1381487;13461
1381496;13507
1381504;13338
1381512;13311
1381520;13017
1381528;12943
1381537;12645
1381545;12505
1381553;12241
1381561;12294
1381569;12212
1381577;12417
1381587;12434
1381595;12790
1381603;13077
1381611;13611
1381619;13879
1381628;14323
1381636;14439
1381647;14722
1381655;14680
1381663;14801
1381672;14686
1381680;14781
1381688;14683
1381696;14717
1381704;14557
1381713;14621
1381721;14487
1381729;14559
1381737;14468
1381745;14538
1381754;14481
1381762;14546
1381770;14433
1381778;14500
1381786;14397
1381795;14466
1381803;14378
1381811;14450
1381819;14283
1381827;14338
1381836;14107
1381844;14034
1381852;13832
1381860;13880
1381868;13764
1381876;13890
1381885;13873
1381893;14043
1381902;14089
1381910;14256
1381918;14225
1381929;14356
1381937;14327
1381945;14402
1381954;14253
1381962;14291
1381971;14091
1381979;14635
1381987;13938
1381995;11101
1382003;7425
1382012;6503
1382020;13328
1382028;16577
1382036;15756
1382044;15107
1382053;14520
1382061;14387
1382069;14018
1382077;13942
1382085;13727
1382094;13748
1382102;13621
1382110;13670
1382118;13541
1382126;13581
1382135;13413
1382143;13398
1382151;13218
1382159;13161
1382167;12975
1382175;12883
1382184;12623
1382192;12489
1382200;12174
1382211;12130
1382220;12079
1382228;12213
1382236;12188
1382244;12408
1382252;12603
1382260;13076
1382270;13352
1382278;13832
1382286;14072
1382294;14464
1382302;14563
1382311;14759
1382319;14715
1382327;14798
1382335;14702
1382343;14758
1382352;14620
1382360;14667
1382368;14510
1382376;14554
1382384;14431
1382393;14428
1382401;14297
1382409;14341
1382417;14279
1382425;14353
1382434;14333
1382442;14443
1382450;14360
1382458;14439
1382466;14337
1382474;14286
1382483;14205
1382494;14315
1382502;14226
1382510;14338
1382519;14292
1382527;14441
1382535;14431
1382543;14553
1382551;14479
1382559;14558
1382568;14460
1382576;14485
1382585;14410
1382593;14447
1382601;14290
1382610;14378
1382618;14427
1382626;12621
1382634;8982
1382642;6731
1382651;9964
1382659;16415
1382667;16313
1382675;15615
1382683;15029
1382692;14979
1382700;14858
1382708;14787
1382716;14727
1382724;14707
1382733;14634
1382741;14608
1382749;14534
1382757;14426
1382765;14338
1382774;14228
1382785;14137
1382793;14135
1382801;13855
1382809;13702
1382818;13351
1382826;13155
1382834;12781
1382842;12653
1382850;12498
1382858;12577
1382867;12577
1382875;12745
1382883;12917
1382891;13355
1382900;13691
1382909;14088
1382917;14317
1382925;14555
1382933;14574
1382941;14663
1382950;14633
1382958;14675
1382966;14604
1382974;14539
1382982;14443
1382991;14361
1382999;14287
1383007;14205
1383015;14163
1383023;14129
1383032;14095
1383040;14024
1383048;13958
1383056;13903
1383067;13910
1383076;14043
1383084;13958
1383092;14004
1383100;13814
1383108;13707
1383117;13500
1383125;13470
1383133;13337
1383141;13357
1383149;13357
1383158;13424
1383166;13432
1383174;13464
1383182;13393
1383190;13343
1383198;13320
1383207;13348
1383215;13342
1383223;13336
1383232;13287
1383240;13171
1383249;13675
1383257;12991
1383265;10136
1383273;6440
1383281;5367
1383290;12221
1383298;15532
1383306;15026
1383314;14394
1383322;13998
1383331;13808
1383339;13507
1383350;13393
1383358;13391
1383366;13228
1383375;13160
1383383;13047
1383391;12990
1383399;12865
1383407;12791
1383416;12642
1383424;12532
1383432;12436
1383440;12325
1383448;12103
1383457;11898
1383465;11688
1383473;11517
1383481;11431
1383489;11442
1383497;11508
1383506;11634
1383514;11868
1383522;12218
1383530;12658
1383538;13053
1383547;13454
1383556;13719
1383564;13953
1383572;13974
1383580;14048
1383589;14019
1383597;14074
1383605;14017
1383613;14043
1383621;13943
1383633;14001
1383641;14063
1383649;14012
1383657;13972
1383665;13915
1383674;13919
1383682;13901
1383690;13911
1383698;13892
1383706;13894
1383715;13905
1383723;13856
1383731;13842
1383739;13816
1383747;13851
1383756;13793
1383764;13792
1383772;13530
1383780;13408
1383788;13281
1383796;13304
1383805;13238
1383813;13289
1383821;13261
1383829;13350
1383837;13411
1383846;13490
1383854;13357
1383862;13423
1383871;13335
1383879;13406
1383888;13287
1383896;13315
1383904;13222
1383914;13693
1383923;11744
1383932;7823
1383940;4856
1383948;8114
1383956;14726
1383964;15160
1383973;14464
1383981;14003
1383989;13779
1383997;13532
1384005;13337
1384014;13283
1384022;13175
1384030;13193
1384038;13087
1384046;13102
1384055;13021
1384063;13012
1384071;12875
1384079;12846
1384087;12633
1384095;12570
1384104;12386
1384112;12279
1384120;12030
1384128;11888
1384136;11649
1384145;11600
1384153;11502
1384161;11635
1384169;11682
1384177;11913
1384186;12145
1384195;12655
1384205;13259
1384213;13656
1384221;13833
1384230;13968
1384238;14011
1384247;14059
1384255;14007
1384263;14019
1384272;13911
1384280;13854
1384288;13769
1384296;13768
1384304;13695
1384313;13707
1384321;13616
1384329;13667
1384337;13572
1384345;13578
1384354;13487
1384362;13551
1384370;13488
1384378;13520
1384386;13480
1384394;13548
1384403;13506
1384411;13569
1384419;13480
1384427;13497
1384435;13304
1384444;13221
1384452;13124
1384460;13179
1384468;13080
1384476;13095
1384488;13141
1384496;13290
1384504;13322
1384512;13346
1384520;13252
1384529;13263
1384537;13200
1384545;13180
1384554;13090
1384562;13077
1384571;12938
1384579;13581
1384587;13077
1384595;10139
1384603;5915
1384612;4430
1384620;10661
1384628;15113
1384636;14826
1384644;14226
1384653;13855
1384661;13743
1384669;13416
1384677;13334
1384685;13204
1384694;13276
1384702;13177
1384710;13179
1384718;13015
1384726;12955
1384734;12841
1384743;12829
1384751;12662
1384759;12626
1384770;12480
1384778;12426
1384787;12178
1384795;12005
1384803;11800
1384811;11748
1384819;11720
1384828;11852
1384836;11866
1384844;12115
1384852;12383
1384860;12879
1384869;13279
1384878;13753
1384886;14013
1384894;14317
1384902;14376
1384911;14508
1384919;14451
1384927;14502
1384935;14446
1384943;14531
1384952;14387
1384960;14378
1384968;14299
1384976;14370
1384984;14272
1384993;14310
1385001;14183
1385009;14220
1385017;14081
1385025;14173
1385033;14122
1385042;14172
1385053;14164
1385061;14292
1385069;14192
1385078;14247
1385086;14147
1385094;14218
1385102;14133
1385110;14225
1385118;14123
1385127;14091
1385135;13913
1385143;14045
1385151;14036
1385159;14183
1385168;14104
1385176;14251
1385184;14219
1385192;14388
1385201;14324
1385210;14362
1385218;14337
