Tempo (ms);Valor
660360;14756
660368;14634
660376;14408
660385;14251
660393;14077
660401;14001
660409;13982
660417;13984
660425;13921
660434;13839
660442;13770
660450;13605
660458;13485
660466;13409
660475;13358
660483;13313
660491;13322
660499;13381
660507;13438
660516;13529
660524;13566
660532;13539
660540;13546
660548;13495
660557;13454
660565;13445
660573;13432
660581;13391
660589;13309
660598;13616
660606;13244
660614;10769
660622;7165
660630;5555
660638;11161
660647;16000
660658;15458
660666;14735
660674;14216
660682;13960
660691;13634
660699;13471
660707;13404
660715;13330
660723;13269
660732;13191
660740;13130
660748;13103
660756;13071
660764;12947
660773;12807
660781;12648
660789;12546
660797;12364
660805;12142
660814;11895
660822;11731
660830;11617
660838;11672
660846;11771
660855;11926
660863;12123
660871;12451
660879;12807
660887;13219
660895;13528
660904;13811
660912;14026
660920;14186
660928;14253
660936;14326
660945;14334
660953;14342
660963;14327
660971;14320
660979;14241
660988;14198
660996;14116
661004;14041
661012;13946
661020;13891
661029;13815
661037;13792
661045;13791
661053;13818
661061;13776
661070;13757
661078;13629
661086;13454
661094;13327
661102;13323
661111;13308
661119;13362
661127;13401
661135;13487
661143;13574
661151;13718
661160;13732
661168;13766
661176;13730
661184;13731
661192;13691
661201;13669
661209;13580
661217;13536
661225;13594
661233;13969
661242;12277
661250;8405
661261;5014
661269;10320
661277;15709
661286;15686
661294;14943
661302;14511
661310;14272
661318;14002
661327;13814
661335;13752
661343;13672
661351;13634
661359;13592
661368;13588
661376;13509
661384;13432
661392;13332
661400;13273
661409;13094
661417;12967
661425;12795
661433;12586
661441;12311
661449;12102
661458;11944
661466;11889
661474;11923
661482;12036
661490;12208
661499;12467
661507;12797
661515;13184
661523;13553
661531;13877
661540;14079
661548;14217
661556;14327
661567;14421
661575;14443
661584;14376
661592;14277
661600;14206
661608;14136
661616;14103
661625;14047
661633;14054
661641;14032
661649;14055
661657;14043
661666;14055
661674;14085
661682;14098
661690;14106
661698;14110
661706;14085
661715;14086
661723;14034
661731;13967
661739;13958
661747;13877
661756;13748
661764;13521
661772;13426
661780;13445
661788;13464
661797;13459
661805;13457
661813;13498
661821;13595
661829;13687
661838;13751
661846;13735
661854;13744
661865;13754
661873;13778
661882;13713
661890;13695
661898;13644
661906;14123
661914;12994
661923;9554
661931;5755
661939;6091
661947;13282
661955;15880
661964;15364
661972;14616
661980;14297
661988;14032
661996;13756
662004;13644
662013;13572
662021;13511
662029;13416
662037;13330
662045;13240
662054;13156
662062;13076
662070;12971
662078;12841
662086;12740
662095;12543
662103;12408
662111;12212
662119;12028
662127;11853
662136;11725
662144;11693
662152;11832
662160;11964
662171;12263
662180;12622
662188;13014
662196;13383
662204;13774
662212;13965
662221;14270
662229;14371
662237;14375
662245;14368
