Tempo (ms);Valor
1080610;14598
1080618;14376
1080626;14651
1080634;13327
1080642;9873
1080650;6474
1080659;7092
1080667;14662
1080675;16621
1080683;15738
1080691;14822
1080700;14407
1080708;14128
1080716;13819
1080724;13683
1080732;13493
1080741;13458
1080749;13376
1080757;13340
1080766;13214
1080774;13155
1080783;12988
1080791;12937
1080799;12813
1080807;12706
1080815;12485
1080824;12345
1080832;12073
1080840;11864
1080848;11579
1080856;11442
1080865;11365
1080873;11471
1080881;11535
1080892;11878
1080900;12259
1080909;12708
1080917;13111
1080925;13528
1080933;13794
1080941;14029
1080950;14100
1080958;14195
1080966;14217
1080974;14265
1080982;14193
1080990;14169
1080999;14067
1081007;14085
1081015;13983
1081023;14006
1081031;13935
1081040;13981
1081048;13945
1081056;14002
1081064;13938
1081072;13971
1081081;13923
1081089;13951
1081098;13909
1081106;13934
1081114;13870
1081123;13917
1081131;13854
1081139;13894
1081147;13857
1081155;13848
1081164;13738
1081175;13665
1081183;13708
1081191;13814
1081199;13833
1081208;13884
1081216;13885
1081224;13997
1081232;14044
1081240;14113
1081249;14031
1081257;14101
1081265;14040
1081273;14024
1081281;13967
1081289;13934
1081298;13860
1081306;14294
1081314;12776
1081322;9353
1081330;6441
1081339;7949
1081347;15568
1081355;16818
1081363;15933
1081371;15070
1081380;14687
1081388;14419
1081396;14097
1081404;13993
1081413;13860
1081422;13798
1081430;13666
1081438;13681
1081446;13586
1081456;13639
1081466;13511
1081474;13414
1081482;13180
1081490;13007
1081498;12763
1081507;12585
1081515;12241
1081523;11980
1081531;11686
1081539;11660
1081548;11627
1081556;11751
1081564;11802
1081572;12079
1081580;12407
1081588;12908
1081597;13304
1081605;13756
1081613;13977
1081621;14230
1081629;14318
1081638;14394
1081646;14367
1081654;14430
1081662;14363
1081670;14341
1081679;14274
1081687;14288
1081695;14207
1081703;14202
1081711;14092
1081720;14061
1081729;13949
1081739;14027
1081747;13993
1081755;13981
1081764;13901
1081772;13932
1081781;13831
1081789;13900
1081797;13861
1081806;13872
1081814;13790
1081822;13760
1081830;13721
1081838;13717
1081847;13543
1081855;13390
1081863;13277
1081871;13375
1081879;13351
1081887;13416
1081896;13387
1081904;13485
1081912;13534
1081920;13653
1081928;13616
1081937;13682
1081945;13639
1081953;13637
1081961;13556
1081969;13548
1081978;13403
1081986;13692
1081994;13289
1082002;10799
1082010;7165
1082022;6887
1082030;14509
1082038;16641
1082046;15771
1082054;14816
1082063;14278
1082071;14063
1082079;13737
1082087;13626
1082095;13471
1082105;13462
1082113;13336
1082121;13276
1082129;13180
1082137;13135
1082146;13002
1082154;12925
1082162;12799
1082170;12692
1082178;12435
1082186;12255
1082195;12017
1082203;11812
1082211;11535
1082219;11426
1082227;11351
1082236;11430
1082244;11534
1082252;11789
1082260;12082
1082268;12528
1082277;12980
1082285;13437
1082293;13749
1082301;14010
1082312;14212
1082321;14375
1082329;14378
1082337;14417
1082345;14334
1082353;14315
1082362;14247
1082370;14218
1082378;14090
1082386;14080
1082394;13970
1082403;13941
1082412;13866
1082420;13862
1082428;13813
1082436;13859
1082445;13803
1082453;13857
1082461;13815
1082469;13874
1082477;13807
1082486;13815
1082494;13832
1082502;13871
1082510;13868
1082518;13891
1082526;13832
1082535;13720
1082543;13454
1082551;13391
1082559;13424
1082567;13494
1082576;13509
1082584;13550
1082595;13742
1082603;13962
1082611;13956
1082620;13970
1082628;13881
1082636;13872
1082644;13839
1082652;13837
1082661;13733
1082669;13810
1082677;13977
1082685;12220
1082693;8427
1082702;5741
1082710;8339
1082718;15938
1082726;16454
1082735;15575
1082744;14743
1082752;14437
1082760;14120
1082768;13927
1082776;13823
1082785;13765
1082793;13702
1082801;13651
1082809;13556
1082817;13486
1082825;13408
1082834;13342
1082842;13268
1082850;13097
1082858;12924
1082866;12727
1082878;12445
1082886;12248
1082894;11945
1082902;11775
1082910;11639
1082919;11667
1082927;11745
1082935;11905
1082943;12172
1082951;12545
1082960;12965
1082968;13421
1082976;13749
1082984;14067
1082992;14242
1083001;14407
1083009;14403
1083017;14434
1083025;14385
1083033;14357
1083043;14326
1083051;14284
1083059;14215
1083067;14146
1083075;14118
1083084;14041
1083092;14003
1083100;13984
1083108;13985
1083116;13954
1083124;13965
1083133;13946
1083141;14002
1083149;14017
1083160;14059
1083169;14146
1083177;14012
1083185;13839
1083193;13632
1083201;13642
1083209;13619
1083218;13635
1083226;13674
1083234;13743
1083242;13826
1083250;13960
1083259;14003
1083267;14004
1083275;13975
1083283;13948
1083291;13898
1083300;13793
1083308;13657
1083316;13743
1083324;13732
1083332;11632
1083341;7832
1083349;5391
1083357;9629
1083365;16350
1083373;16150
1083383;15124
1083391;14423
1083399;14142
1083407;13869
1083415;13638
1083423;13545
1083432;13455
1083440;13433
1083451;13448
1083459;13461
1083468;13411
1083476;13305
1083484;13248
1083492;13167
1083500;13047
1083508;12877
1083517;12680
1083525;12432
1083533;12146
1083541;11919
1083549;11787
1083558;11752
1083566;11759
1083574;11866
1083582;12016
1083590;12321
1083599;12736
1083607;13281
1083615;13711
1083623;14113
1083631;14330
1083640;14552
1083648;14643
1083656;14764
1083664;14779
1083672;14825
1083681;14779
1083690;14765
1083698;14685
1083706;14641
1083714;14509
1083722;14477
1083733;14521
1083742;14555
1083750;14484
1083758;14431
1083767;14404
1083775;14421
1083783;14362
1083791;14331
1083799;14209
1083807;13982
1083816;13822
1083824;13840
1083832;13786
1083840;13824
1083848;13879
1083857;14009
1083865;14072
1083873;14210
1083881;14231
1083889;14267
1083898;14194
1083906;14252
1083914;14230
1083922;14233
1083930;14106
1083939;14185
1083947;14104
1083955;12198
1083963;8604
1083971;6987
