Tempo (ms);Valor
540298;14844
540306;14713
540314;14525
540323;14396
540331;14282
540339;14257
540347;14209
540355;14156
540364;14166
540372;14205
540380;14183
540388;14202
540396;14179
540404;14211
540413;14217
540421;14238
540429;14080
540437;14015
540445;13790
540454;13645
540462;13489
540470;13469
540478;13400
540486;13421
540495;13434
540503;13505
540511;13546
540519;13579
540527;13550
540536;13558
540544;13556
540552;13633
540560;13600
540568;13544
540577;13437
540585;13949
540596;12542
540604;8846
540612;5384
540621;7047
540629;14552
540637;15622
540645;14873
540653;14193
540662;13953
540670;13709
540678;13509
540686;13446
540694;13386
540702;13310
540711;13216
540719;13182
540727;13086
540735;13041
540743;12968
540752;12911
540760;12837
540768;12767
540776;12668
540784;12543
540793;12285
540801;12063
540809;11857
540817;11797
540825;11812
540834;11939
540842;12064
540850;12248
540858;12480
540866;12817
540874;13206
540883;13536
540891;13814
540901;14133
540909;14268
540918;14320
540926;14315
540934;14313
540942;14285
540950;14288
540958;14281
540967;14269
540975;14196
540983;14202
540991;14196
540999;14149
541008;14164
541016;14147
541024;14156
541033;14154
541041;14125
541050;14121
541058;14119
541066;14124
541074;14162
541082;14172
541091;14118
541099;14066
541107;13902
541115;13763
541123;13715
541132;13672
541140;13649
541148;13748
541156;13840
541164;13902
541172;14014
541181;14078
541189;14078
541199;14070
541207;14078
541215;14017
541224;13932
541232;13840
541240;14039
541248;14095
541256;11949
541265;7897
541273;5396
541281;10016
541289;15949
541297;15886
541306;15112
541314;14612
541322;14454
541330;14151
541338;13996
541347;13882
541355;13802
541363;13752
541371;13784
541379;13713
541388;13676
541396;13622
541404;13552
541412;13465
541420;13360
541428;13217
541437;13074
541445;12882
541453;12683
541461;12402
541469;12255
541478;12147
541486;12207
541494;12244
541505;12463
541513;12691
541522;13023
541530;13307
541538;13635
541546;13906
541554;14189
541563;14312
541571;14406
541579;14439
541587;14374
541595;14186
541604;14090
541612;13987
541620;13967
541628;13887
541636;13853
541645;13815
541653;13863
541661;13837
541669;13897
541677;13944
541686;13985
541694;14024
541702;14106
541710;14121
541718;14124
541726;14094
541735;14026
541743;13931
541751;13831
541759;13829
541767;13786
541776;13790
541784;13871
541792;13898
541803;14133
541811;14217
541820;14241
541828;14209
541836;14168
541844;14070
541852;14007
541861;13983
541869;13937
541877;14041
541885;14235
541893;12271
541902;8420
541910;6298
541918;10017
541926;16606
541934;16567
541943;15765
541951;15025
541959;14696
541967;14512
541975;14223
541983;14010
541992;13869
542000;13741
542008;13670
542016;13579
542024;13463
542033;13334
542041;13201
542049;13090
542057;12968
542065;12812
542074;12655
542082;12461
542090;12253
542098;12108
542109;12061
542118;12085
542126;12136
542134;12228
542142;12366
542150;12625
542159;13000
542167;13383
542175;13724
542183;14070
542191;14274
542200;14437
542208;14503
542216;14526
542224;14535
542232;14456
542241;14400
542249;14326
542257;14222
542265;14114
542273;14007
542281;13901
542290;13798
542298;13758
542306;13760
542314;13715
542322;13706
542331;13719
542339;13745
542347;13728
542355;13766
542363;13816
542372;13839
542380;13797
542388;13749
542396;13580
542404;13458
542416;13437
542424;13494
542432;13531
542440;13592
542448;13669
542457;13759
542465;13771
542473;13759
542481;13717
542489;13716
542498;13691
542506;13664
542514;13594
542522;13458
542530;13966
542538;13472
542547;10439
542555;6260
542563;5063
542571;11852
542579;15814
542588;15518
542596;14823
542604;14454
542612;14237
542620;13965
542629;13835
542637;13789
542645;13702
542653;13623
542661;13568
542670;13519
542678;13436
542686;13372
542694;13289
542702;13205
542714;13084
542722;12978
542730;12723
542738;12461
542746;12213
542755;12027
542763;11932
542771;11949
542779;12019
542787;12152
542796;12349
542804;12669
542812;13027
542820;13398
542828;13748
542836;14042
542845;14215
542853;14313
542861;14376
542869;14389
542877;14348
542886;14289
542894;14273
542902;14252
542910;14208
542918;14129
542927;14064
542935;14021
542943;13992
542951;13990
542959;13982
542968;13976
542976;13979
542984;13996
542992;13960
543000;13937
543009;13961
543019;14079
543027;14098
543035;14067
543043;13980
543052;13828
543060;13649
543068;13592
543076;13555
543084;13616
543092;13656
543101;13728
543109;13767
543117;13788
543125;13752
543133;13717
543142;13675
543150;13661
543158;13597
543167;13580
543175;13499
543184;13918
543192;13838
543200;11250
543207;6852
543215;4654
543225;9824
543233;15499
543241;15584
543249;14973
543257;14562
543266;14348
543274;14093
543282;13936
543290;13869
543298;13815
543306;13827
543315;13736
543325;13666
543333;13634
543341;13545
543350;13413
543358;13278
543366;13161
543374;12962
543382;12758
543390;12520
543399;12292
543407;12051
543415;11898
543423;11838
543431;11897
543440;11975
543448;12135
543456;12439
543464;12788
543472;13183
543481;13588
543489;13930
543497;14127
543505;14287
543513;14388
543522;14426
543530;14442
543538;14444
543546;14429
543554;14401
543562;14327
543571;14304
543579;14279
543587;14245
543595;14203
543603;14210
543612;14137
543623;14175
543631;14228
543639;14192
543647;14127
543656;14110
543664;14104
543672;14091
543680;14012
543688;13951
543697;13818
543705;13692
543713;13601
543721;13626
543729;13618
543738;13697
543746;13746
543754;13839
543762;13884
543770;13936
543779;13909
543787;13905
543795;13879
543803;13842
543811;13796
543820;13723
543828;13596
543836;14069
543844;13823
543852;11145
543860;6808
543869;5010
543877;10943
543885;15788
543893;15619
543901;14921
543910;14569
543918;14375
543929;14052
543937;13986
543945;13871
543954;13759
543962;13662
543970;13636
543978;13539
543986;13460
543995;13315
544003;13229
544011;13111
544019;12994
544027;12847
544036;12679
