Tempo (ms);Valor
240136;5822
240144;13273
240153;16380
240162;15907
240170;15186
240178;14888
240186;14620
240194;14282
240202;14078
240211;13944
240219;13794
240227;13703
240235;13630
240243;13511
240252;13418
240260;13274
240268;13121
240276;12960
240284;12803
240293;12634
240301;12422
240309;12164
240317;11915
240325;11680
240334;11516
240342;11461
240350;11486
240358;11569
240366;11721
240375;11940
240383;12325
240391;12748
240399;13210
240407;13555
240415;13926
240424;14167
240435;14407
240443;14513
240451;14494
240460;14466
240468;14460
240476;14426
240484;14414
240492;14396
240500;14421
240509;14362
240517;14321
240525;14255
240533;14220
240541;14207
240550;14173
240558;14122
240566;14137
240574;14153
240582;14206
240591;14210
240599;14211
240607;14177
240615;14042
240623;13943
240632;13946
240640;13933
240648;13942
240656;13975
240664;14060
240673;14116
240681;14229
240689;14261
240697;14250
240705;14227
240713;14209
240722;14147
240733;14188
240741;14199
240749;14113
240758;14273
240766;14610
240774;12597
240782;8354
240790;5349
240798;8607
240807;15783
240815;16233
240823;15595
240831;15007
240839;14736
240848;14447
240856;14132
240864;13958
240872;13820
240880;13746
240889;13657
240897;13605
240905;13475
240913;13418
240921;13348
240930;13311
240938;13139
240946;12991
240954;12823
240962;12663
240970;12399
240979;12165
240987;11967
240995;11863
241003;11778
241011;11868
241020;11975
241028;12150
241039;12682
241047;13211
241055;13619
241064;14004
241072;14237
241080;14482
241088;14572
241096;14676
241105;14688
241113;14651
241121;14623
241129;14619
241137;14484
241146;14393
241154;14305
241162;14312
241170;14293
241178;14324
241187;14314
241195;14331
241203;14329
241211;14416
241219;14472
241228;14537
241236;14561
241244;14535
241252;14464
241260;14333
241268;14243
241277;14238
241285;14188
241293;14220
241301;14370
241309;14448
241318;14513
241326;14619
241334;14725
241345;14908
241353;14951
241362;14850
241370;14792
241378;14821
241386;14770
241394;14694
241403;14643
241411;15193
241419;13681
241427;9763
241435;6871
241444;8054
241452;15712
241460;16976
241468;16364
241476;15539
241485;14923
241493;14589
241501;14269
