Tempo (ms);Valor
1260695;14372
1260703;14042
1260712;13934
1260720;13538
1260728;13439
1260736;13027
1260744;12904
1260754;12477
1260762;12363
1260770;11956
1260778;11952
1260786;11734
1260795;11955
1260803;11880
1260811;12178
1260819;12265
1260827;12764
1260836;13037
1260844;13595
1260852;13714
1260860;14050
1260868;14044
1260877;14308
1260885;14211
1260893;14365
1260901;14194
1260909;14293
1260918;14099
1260926;14180
1260934;13984
1260942;14103
1260950;13920
1260958;14019
1260970;13909
1260978;14091
1260986;13922
1260994;14070
1261002;13922
1261011;14111
1261019;13917
1261027;14065
1261035;13791
1261043;13806
1261052;13564
1261060;13714
1261069;13556
1261077;13764
1261085;13631
1261094;13845
1261102;13757
1261110;13939
1261118;13775
1261126;13890
1261135;13711
1261143;13842
1261151;13651
1261159;13731
1261167;13510
1261176;13626
1261184;13770
1261192;12414
1261200;8953
1261208;6432
1261217;8252
1261225;15532
1261233;15987
1261241;15304
1261249;14391
1261261;14168
1261269;13767
1261277;13724
1261285;13452
1261293;13551
1261302;13294
1261310;13376
1261318;13123
1261326;13200
1261334;12963
1261342;13020
1261351;12762
1261359;12772
1261367;12480
1261375;12432
1261383;12070
1261392;11967
1261400;11652
1261409;11682
1261417;11549
1261425;11758
1261434;11784
1261442;12112
1261450;12280
1261458;12779
1261466;13066
1261475;13570
1261483;13795
1261491;14126
1261499;14191
1261507;14349
1261516;14322
1261524;14390
1261532;14342
1261543;14493
1261551;14331
1261560;14424
1261568;14170
1261576;14241
1261584;14019
1261592;14130
1261601;13910
1261609;14045
1261617;13923
1261625;14045
1261633;13923
1261641;14043
1261650;13903
1261658;14059
1261666;13954
1261674;14082
1261682;13952
1261691;14038
1261699;13951
1261707;14004
1261715;13786
1261724;13707
1261733;13558
1261741;13687
1261749;13659
1261757;13708
1261765;13663
1261774;13763
1261782;13791
1261790;13849
1261798;13800
1261806;13832
1261815;13789
1261826;13865
1261834;13710
1261842;13787
1261850;13566
1261859;14135
1261867;12783
1261875;9619
1261883;6362
1261891;7452
1261900;14399
1261908;15945
1261916;15132
1261924;14529
1261932;14197
1261940;14027
1261949;13717
1261957;13724
1261965;13560
1261973;13545
1261981;13379
1261990;13357
1261998;13244
1262006;13230
1262014;13106
1262022;13091
1262031;12919
1262039;12795
1262047;12595
1262056;12398
1262064;12191
1262073;11961
1262081;11756
1262089;11683
1262097;11734
1262107;11966
1262117;12023
1262125;12383
1262133;12569
1262141;13092
1262149;13349
1262158;13798
1262166;13955
1262174;14216
1262182;14250
1262190;14389
1262199;14307
1262207;14370
1262215;14252
1262223;14263
1262231;14147
1262239;14170
1262248;14058
1262256;14047
1262264;13960
1262272;13969
1262280;13917
1262289;13904
1262297;13885
1262305;13880
1262313;13885
1262321;13851
1262330;13855
1262338;13864
1262346;13902
1262354;13862
1262362;13860
1262372;13680
1262380;13610
1262388;13534
1262398;13644
1262406;13805
1262415;13706
1262424;13853
1262432;13887
1262440;14073
1262448;13997
1262457;14072
1262465;13987
1262473;14008
1262481;13938
1262489;13959
1262498;13883
1262506;13953
1262514;14150
1262522;12642
1262530;9003
1262538;6120
1262547;8775
1262555;15453
1262563;16004
1262571;15176
1262579;14627
1262588;14342
1262596;14057
1262604;13794
1262612;13734
1262620;13556
1262629;13560
1262637;13374
1262645;13361
1262653;13194
1262661;13192
1262670;12986
1262681;12956
1262689;12956
1262697;12698
1262705;12503
1262714;12217
1262722;12009
1262730;11779
1262738;11685
1262747;11671
1262756;11759
1262764;11888
1262772;12057
1262780;12341
1262788;12717
1262797;13175
1262805;13554
1262813;13923
1262821;14107
1262829;14320
1262838;14357
1262846;14420
1262854;14367
1262862;14471
1262870;14348
1262878;14401
1262887;14269
1262895;14331
1262903;14195
1262911;14252
1262919;14107
1262928;14174
1262936;14005
1262944;14130
1262952;13982
1262963;14103
1262972;14233
1262980;14202
1262988;14227
1262996;14246
1263004;14174
1263013;14028
1263021;13829
1263029;13823
1263037;13828
1263046;13854
1263055;13759
1263063;13832
1263071;13833
1263079;14022
1263087;14023
1263096;14083
1263104;13985
1263112;14100
1263120;14002
1263128;14062
1263137;13875
1263145;13890
1263153;14235
1263161;13620
1263169;10712
1263177;7287
1263186;6726
1263194;13954
1263202;16316
1263210;15802
1263218;14813
1263227;14631
1263235;14274
1263246;14061
1263254;13983
1263262;13912
1263271;13774
1263279;13707
1263287;13571
1263295;13534
1263303;13358
1263312;13335
1263320;13198
1263328;13178
1263336;12967
1263344;12870
1263353;12583
1263361;12439
1263370;12116
1263378;12008
1263386;11767
1263395;11883
1263403;11878
1263411;12111
1263419;12155
1263427;12616
1263436;12852
1263444;13369
1263452;13582
1263460;14001
1263468;14050
1263476;14307
1263485;14198
1263493;14417
1263501;14264
1263509;14410
1263517;14200
1263529;14350
1263537;14271
1263545;14242
1263553;14148
1263561;14191
1263570;14017
1263578;14065
1263586;13996
1263594;14089
1263602;13973
1263611;14087
1263619;13846
1263627;13871
1263635;13684
1263643;13802
1263652;13709
1263660;13872
1263668;13788
1263676;14016
1263684;13936
1263693;14133
1263702;13964
1263710;14098
1263718;13943
1263726;14050
1263735;13875
1263743;13990
1263751;13741
1263759;13839
1263767;13957
1263775;12449
1263784;8884
1263792;7091
1263800;9174
1263808;16222
1263820;16247
1263828;15545
1263836;14684
1263844;14460
1263852;14091
1263860;13967
1263869;13723
1263877;13775
1263885;13606
1263893;13639
1263901;13458
1263910;13509
1263918;13302
1263926;13341
1263934;13090
1263942;13116
1263951;12814
1263959;12767
1263967;12379
1263975;12289
1263983;11892
1263992;11906
1264000;11749
1264008;11960
1264016;11935
1264024;12255
1264034;12310
1264042;12773
1264050;13008
1264058;13531
1264066;13674
1264074;14065
1264083;14064
1264091;14288
1264102;14265
1264110;14421
1264119;14185
1264127;14238
1264135;13989
1264143;14060
1264151;13853
1264159;13972
1264168;13805
1264176;13910
1264184;13730
1264192;13874
1264200;13755
1264209;13958
1264217;13741
1264225;13892
1264233;13651
1264241;13691
1264250;13443
1264258;13597
1264266;13434
1264274;13644
1264282;13568
1264291;13814
1264299;13773
1264307;14045
1264315;13896
1264323;14019
1264332;13862
1264340;13967
1264349;13757
1264357;13865
1264365;13710
1264374;13835
1264384;13702
1264393;11639
1264401;7824
1264409;5954
1264418;10807
1264426;16136
1264434;15733
1264442;15082
1264450;14405
1264458;14349
1264467;13919
1264475;13926
1264483;13701
1264491;13736
1264499;13465
1264508;13552
1264516;13360
1264524;13466
1264532;13266
1264540;13303
1264549;12999
1264557;13028
1264565;12695
1264573;12617
1264581;12266
1264590;12149
1264598;11798
1264606;11817
1264614;11682
1264622;11854
1264631;11855
1264639;12161
1264647;12339
1264655;12842
1264666;13321
1264675;13890
1264683;13969
1264691;14296
1264699;14236
1264707;14410
1264717;14316
1264725;14434
1264733;14211
1264741;14306
1264749;14120
1264758;14190
1264766;13969
1264774;14076
1264782;13882
1264790;13985
1264798;13819
1264807;13938
1264815;13809
1264823;13902
1264831;13741
1264839;13846
1264848;13722
1264856;13815
1264864;13691
1264872;13785
1264880;13698
1264889;13778
1264897;13568
1264905;13460
1264913;13326
1264921;13436
1264930;13419
1264938;13498
1264949;13516
1264957;13802
1264965;13750
1264974;13911
1264982;13758
1264990;13877
1264998;13716
1265006;13870
1265015;13744
1265024;13851
1265032;13645
1265040;14226
1265048;12881
1265057;9573
1265065;5991
1265073;7031
1265081;14208
1265089;15994
1265097;15290
1265106;14700
1265114;14344
1265122;14210
1265130;13925
1265138;13873
1265147;13711
1265155;13694
1265163;13558
1265171;13593
1265179;13465
1265188;13417
1265196;13299
1265204;13265
1265212;13122
1265220;13034
1265229;12862
