Tempo (ms);Valor
1560897;15299
1560905;14967
1560914;14937
1560922;14555
1560930;14558
1560938;14228
1560946;14333
1560955;14073
1560963;14150
1560971;13933
1560979;14088
1560987;13894
1560996;14046
1561004;13881
1561012;14001
1561020;13821
1561028;13923
1561038;13809
1561046;13957
1561054;13833
1561062;13887
1561070;13710
1561079;13802
1561087;13715
1561095;13773
1561103;13645
1561111;13680
1561119;13526
1561128;13422
1561136;13278
1561144;13305
1561152;13240
1561160;13249
1561172;13245
1561180;13543
1561188;13395
1561196;13624
1561204;13466
1561213;13594
1561221;13428
1561229;13550
1561237;13354
1561245;13450
1561254;13227
1561262;13394
1561270;13720
1561278;12383
1561286;8670
1561295;5825
1561303;7284
1561311;14597
1561319;15464
1561327;14881
1561336;14191
1561344;14035
1561352;13795
1561361;13655
1561369;13518
1561378;13519
1561386;13476
1561394;13416
1561402;13331
1561410;13262
1561418;13211
1561427;13086
1561435;13050
1561443;12935
1561451;12876
1561463;12809
1561471;12552
1561479;12427
1561487;12040
1561495;11931
1561503;11659
1561512;11708
1561520;11585
1561528;11720
1561536;11789
1561544;12154
1561553;12508
1561561;12987
1561569;13389
1561577;13798
1561585;14044
1561594;14246
1561602;14319
1561610;14395
1561618;14435
1561626;14426
1561635;14433
1561643;14364
1561651;14353
1561659;14273
1561667;14276
1561677;14136
1561685;14131
1561693;14010
1561701;14021
1561709;13892
1561718;13946
1561726;13803
1561734;13932
1561745;13999
1561753;13988
1561762;14026
1561770;13918
1561778;13928
1561786;13821
1561794;13853
1561802;13800
1561811;13826
1561819;13824
1561827;13872
1561835;13913
1561843;13930
1561852;13965
1561860;13934
1561868;13873
1561876;13702
1561884;13619
1561893;13549
1561901;13626
1561909;13564
1561917;13584
1561925;13513
1561934;13689
1561942;13663
1561950;13841
1561958;13770
1561966;13884
1561975;13751
1561983;13832
1561991;13636
1562000;13724
1562008;13487
1562017;13618
1562027;13906
1562035;11849
1562043;8082
1562051;5790
1562061;9679
1562069;15755
1562077;15690
1562085;14955
1562093;14365
1562102;14254
1562110;13946
1562118;13837
1562126;13709
1562134;13725
1562142;13608
1562151;13615
1562159;13485
1562167;13526
1562175;13359
1562183;13383
1562192;13142
1562200;13129
1562208;12892
1562216;12891
1562224;12533
1562233;12480
1562241;12081
1562249;11977
1562257;11590
1562265;11679
1562274;11536
1562282;11800
1562290;11751
1562298;12208
1562309;12765
1562318;13311
1562326;13651
1562334;14032
1562342;14203
1562350;14410
1562359;14387
1562367;14500
1562376;14416
1562384;14505
1562392;14360
1562401;14407
1562409;14266
1562417;14341
1562425;14176
1562433;14230
1562441;14020
1562450;14117
1562458;13916
1562466;14079
1562474;13913
1562482;14074
1562491;13896
1562499;14092
1562507;13925
1562515;14085
1562523;13861
1562532;14032
1562540;13807
1562548;13956
1562556;13725
1562564;13845
1562573;13590
1562581;13735
1562589;13544
1562600;13733
1562608;13616
1562617;13669
1562625;13522
1562633;13653
1562641;13420
1562649;13463
1562658;13182
1562666;13296
1562674;13161
1562682;13362
1562691;13189
1562700;13367
1562708;13262
1562716;13475
1562724;13425
1562732;13668
1562740;13506
1562749;13740
1562757;13543
1562765;13700
1562773;13400
1562781;13496
1562790;13683
1562798;13747
1562806;11239
1562814;7389
1562822;4944
1562831;9655
1562839;15125
1562847;15387
1562855;14563
1562863;14357
1562872;14024
1562883;14017
1562891;13840
1562899;13897
1562907;13667
1562916;13813
1562924;13620
1562932;13729
1562940;13457
1562948;13560
1562957;13247
1562965;13277
1562973;12968
1562981;13031
1562989;12710
1562998;12737
1563006;12386
1563014;12363
1563023;11919
1563031;11963
1563039;11710
1563048;11903
1563056;11795
1563064;12133
1563072;12282
1563080;12867
1563089;13112
1563097;13665
1563105;13791
1563113;14200
1563121;14172
1563130;14468
1563138;14315
1563146;14497
1563154;14310
1563165;14535
1563174;14335
1563182;14462
1563190;14219
1563198;14393
1563206;14165
1563215;14295
1563223;14048
1563231;14217
1563239;13985
1563247;14135
1563256;13903
1563264;14086
1563272;13906
1563280;14101
1563288;13873
1563297;14040
1563305;13847
1563313;14077
1563321;13886
1563329;14041
1563337;13850
1563347;14057
1563355;13823
1563363;13888
1563371;13576
1563379;13700
1563388;13554
1563396;13727
1563404;13565
1563412;13705
1563420;13615
1563429;13786
1563437;13745
1563448;13999
1563456;13840
1563464;14009
1563473;13810
1563481;14017
1563489;13784
1563497;13915
1563505;14191
1563514;14051
1563522;11230
1563530;7327
1563538;5236
1563546;11073
1563555;15755
1563563;15712
1563571;14800
1563579;14612
1563587;14276
1563596;14182
1563604;13896
1563612;13967
1563620;13755
1563628;13853
1563636;13648
1563645;13685
1563653;13457
1563662;13533
1563670;13377
1563678;13388
1563687;13193
1563695;13155
1563703;12919
1563711;12825
1563719;12508
1563731;12310
1563739;11956
1563747;11996
1563755;11753
1563763;11951
1563772;11892
1563780;12282
1563788;12414
1563796;13009
1563804;13262
1563813;13782
1563821;13969
1563829;14347
1563837;14259
1563845;14468
1563854;14366
1563862;14502
1563870;14339
1563878;14460
1563886;14381
1563895;14442
1563903;14337
1563911;14372
1563919;14187
1563927;14161
1563935;14042
1563944;14074
1563952;13991
1563960;14006
1563968;13939
1563977;13904
1563986;13906
1563994;13895
1564002;13908
1564010;13892
1564020;13895
1564029;14049
1564038;13761
1564046;13797
1564054;13611
1564062;13738
1564071;13576
1564079;13765
1564087;13706
1564095;13869
1564103;13789
1564112;13917
1564120;13823
1564128;13910
1564136;13819
1564144;13857
1564153;13745
1564161;13728
1564169;13571
1564177;14025
1564185;13568
1564194;10985
1564202;7470
1564210;6046
1564218;12069
1564226;16289
1564234;15746
1564243;14935
1564251;14400
1564259;14192
1564267;14034
1564275;13729
1564284;13665
1564292;13513
1564303;13513
1564311;13650
1564319;13467
1564328;13499
1564336;13313
1564344;13321
1564352;13130
1564361;13070
1564370;12841
1564378;12746
1564386;12481
1564394;12279
1564402;12015
1564411;11834
1564419;11720
1564427;11707
1564435;11719
1564443;11805
1564452;12059
1564460;12443
1564468;12896
