Tempo (ms);Valor
960536;13333
960545;13025
960553;12601
960561;12251
960569;11952
960577;11849
960585;11804
960594;11853
960602;11884
960610;12147
960618;12379
960626;12786
960635;13125
960643;13562
960651;13743
960659;14017
960667;14044
960676;14163
960684;14090
960692;14197
960700;14060
960708;14162
960717;14010
960725;14138
960733;13987
960741;14074
960749;13917
960758;14051
960766;13904
960774;14012
960782;13867
960790;13961
960798;13724
960807;13805
960815;13630
960823;13664
960834;13442
960842;13375
960851;13247
960859;13353
960867;13308
960875;13348
960883;13252
960892;13451
960900;13400
960908;13708
960916;13630
960924;13700
960933;13509
960941;13645
960949;13490
960957;13619
960965;13416
960974;13757
960982;13123
960990;11226
960998;7584
961006;6545
961015;11610
961023;16154
961031;15644
961039;14846
961047;14201
961055;14114
961064;13736
961072;13704
961080;13539
961088;13605
961096;13403
961105;13431
961113;13220
961121;13285
961129;13115
961140;13225
961149;12993
961157;12966
961165;12628
961173;12615
961181;12166
961190;12025
961198;11628
961206;11632
961214;11504
961222;11705
961231;11741
961239;12088
961247;12526
961255;13529
961263;14210
961272;15004
961280;15396
961288;15745
961296;15611
961304;15507
961313;15167
961321;15062
961329;14816
961337;14660
961345;14348
961353;14179
961362;13993
961370;13834
961378;13641
961386;13559
961394;13626
961403;13687
961411;13666
961419;13680
961427;13720
961438;13882
961447;13732
961455;13666
961463;13439
961471;13431
961479;13124
961488;13109
961496;13028
961504;13116
961512;13086
961520;13185
961529;13220
961537;13442
961545;13536
961553;13603
961561;13606
961570;13668
961578;13674
961586;13685
961594;13653
961602;13603
961610;13837
961619;14067
961627;12050
961635;7776
961643;4749
961651;7816
961660;15184
961668;15952
961676;15522
961684;14958
961692;14830
961701;14407
961709;14227
961717;13911
961725;13898
961733;13777
961745;13883
961753;13986
961761;14051
961769;14253
961777;14857
961786;15344
961794;15738
961802;15920
961810;16013
961818;15913
961827;15639
961835;15109
961843;14599
961851;14048
961859;13799
961868;13479
961876;13314
961884;13183
961892;13417
961900;13648
961908;14086
961917;14276
961925;14472
961933;14315
961941;14260
961949;13952
961958;13766
961966;13283
961974;13011
961982;12935
961990;13211
961999;13306
962007;13558
962015;13573
962023;13757
962031;13879
962043;14154
962051;14285
962059;14359
962067;14294
962075;14311
962084;14229
962092;14273
962100;14222
962108;14188
962116;13979
962125;13951
962133;13797
962141;13767
962149;13729
962157;13841
962166;13804
962174;13959
962182;13889
962190;13949
962198;13774
962206;13812
962215;13655
962223;13634
962231;13430
962239;13388
962247;13650
962256;12631
962264;9408
962272;6938
962280;7502
962288;14896
962297;16463
962305;15846
962313;14858
962321;14373
962329;14116
962338;13927
962349;13668
962357;13683
962365;13453
962373;13425
962382;13205
962390;13173
962398;12942
962406;12944
962414;12738
962423;12709
962431;12436
962439;12362
962447;12076
962455;11959
962463;11655
962472;11606
962480;11450
962488;11549
962496;11497
962504;11797
962513;11932
962521;12375
962529;12616
962537;13135
962545;13420
962554;13762
962562;13890
962570;14127
962578;14142
962586;14257
962595;14220
962603;14244
962611;14202
962619;14205
962627;14132
962636;14107
962644;14030
962655;14144
962663;14044
962671;14041
962680;13829
962688;13906
962696;13825
962704;13927
962712;13778
962721;13902
962729;13722
962737;13735
962745;13612
962753;13712
962761;13594
962770;13672
962778;13646
962786;13793
962794;13830
962802;13957
962811;13952
962819;14004
962827;13936
962835;14013
962843;13980
962852;14003
962860;13919
962868;13940
962876;14087
962884;12363
962893;8823
962901;6810
962909;9553
962917;16242
962925;16424
962934;15648
962942;14978
962950;14529
962961;14293
962969;14136
962978;13911
962986;13824
962994;13684
963002;13639
963010;13479
963018;13440
963027;13281
963035;13213
963043;13037
963051;12889
963059;12726
963068;12517
963076;12211
963084;11941
963092;11764
963100;11607
963109;11600
963117;11643
963125;11793
963133;11969
963141;12343
963150;12701
963158;13180
963166;13514
963174;13918
963182;14143
963191;14387
963199;14439
963207;14565
963215;14461
963223;14532
963231;14411
963240;14459
963248;14332
963259;14341
963267;14301
963276;14210
963284;14136
963292;14093
963300;14040
963308;14024
963316;14011
963325;14011
963333;13975
963341;14035
963349;13969
963357;14013
963366;13850
963374;13822
963382;13656
963390;13780
963398;13720
963407;13829
963415;13814
963423;13985
963431;13962
963439;14131
963448;14007
963456;14040
963464;13897
963472;13939
963480;13763
963489;13835
963497;13622
963505;14183
963513;13136
963521;10135
963529;6742
963538;6647
963546;13592
963554;16218
963565;15330
963574;14674
963582;14205
963590;13996
963598;13621
963606;13561
963614;13353
963623;13369
963631;13260
963639;13271
963647;13067
963655;13118
963664;12923
963672;12904
963680;12721
963688;12705
963696;12456
963705;12336
963713;11961
963721;11848
963729;11605
963737;11613
963746;11529
963754;11707
963762;11779
963770;12105
963778;12395
963786;12901
963795;13217
963803;13691
963811;13895
963819;14172
963827;14221
963836;14288
963844;14214
963852;14206
963863;14107
963871;14208
963880;13984
963888;14016
963896;13807
963904;13890
963912;13771
963921;13896
963929;13754
963937;13863
963945;13752
963953;13818
963962;13726
963970;13833
963978;13762
963986;13827
963994;13769
964003;13797
964011;13659
964019;13557
964027;13411
964035;13452
964044;13414
964052;13478
964060;13466
964068;13527
964076;13574
964084;13729
964093;13797
964101;13791
964109;13720
964117;13689
964125;13671
964134;13612
964142;13567
964150;13701
964158;13798
964169;10825
964178;6750
964186;5604
964194;11507
964202;15825
964210;15610
964219;14893
964227;14446
964235;14202
964243;13832
964251;13652
964260;13692
964268;13673
964276;13599
964284;13541
964292;13429
964301;13180
964309;13172
964317;13273
964325;13236
964333;12956
964342;12803
964350;12565
964358;12376
964366;12051
964374;11844
964382;11593
964391;11587
964399;11529
964407;11620
964415;11652
964423;12004
964432;12323
964440;12656
964448;12841
964456;13269
964464;13431
964475;13671
964483;13842
964492;13957
964500;13954
964508;13985
964517;14070
964525;14186
964533;14282
964541;14463
964549;14641
964558;14895
964566;15080
964574;15181
964582;15030
964590;14857
964599;14539
964607;14342
964615;14162
964623;14205
964631;14061
964639;14083
964648;13973
964656;13956
964664;13698
964672;13669
964680;13633
964689;13718
964697;13632
964705;13710
964713;13685
964721;13830
964730;13863
964738;14002
964746;14003
964754;14117
964762;14055
964773;14155
964781;14095
964789;14027
964797;14545
964805;14207
964814;11148
964822;6634
964830;5007
964838;11198
964846;15969
964855;16098
964863;15437
964871;15195
964879;14903
964887;14729
964895;14555
964904;14501
964912;14371
964920;14330
964928;14181
964936;14091
964945;13935
964953;13834
964961;13691
964969;13642
964977;13498
964986;13394
964994;13204
965002;12987
965010;12698
965018;12457
965027;12250
965035;12186
965043;12169
965051;12216
965059;12316
965068;12566
965079;13191
965087;13714
965095;14045
965103;14244
965112;14283
965120;14337
965128;14390
965136;14492
965144;14524
965153;14467
965161;14382
965169;14380
965177;14340
965185;14324
965193;14328
965202;14315
965210;14258
965218;14185
965226;14159
965234;14144
965243;14093
965251;14059
965259;14048
965267;14032
965275;14007
965284;13970
965292;13996
965300;13891
965308;13841
965316;13700
965325;13677
965333;13721
965341;13842
965349;13915
965357;14013
965366;14049
965374;14174
965385;14300
965393;14280
965401;14194
965410;14054
965418;13946
965426;13827
965434;13729
965442;13599
965450;14172
965459;13699
965467;10451
965475;6004
965483;4560
965491;11080
965500;15504
965508;15322
965516;14595
965524;14289
965532;14012
965541;13737
965549;13612
965557;13559
965565;13511
965573;13490
965582;13386
965590;13343
965598;13259
965606;13242
965614;13117
965623;13038
965631;12918
965639;12855
965647;12641
965655;12473
965663;12196
965672;12076
965683;11946
965691;11986
965699;11998
965708;12189
965716;12400
965724;12772
965732;13194
965740;13661
965748;14006
965757;14325
965765;14417
965773;14570
965781;14632
965789;14686
965798;14592
965806;14639
965814;14536
965822;14518
965830;14420
965839;14463
965847;14350
965855;14410
965863;14336
965871;14401
965880;14271
965888;14330
965896;14240
965904;14341
965912;14260
965921;14318
965929;14249
965937;14293
965945;14200
965953;14240
965961;14152
965970;14050
965978;13883
965989;13992
965997;13952
966006;13965
966014;13889
966022;13963
966030;13990
966038;14145
966046;14113
966055;14161
966063;14144
966071;14267
966079;14198
966087;14207
966096;14067
966104;14167
966112;14423
966120;12726
966128;8792
966137;6386
966145;9279
966153;16326
966161;16497
966169;15727
966178;14913
966186;14578
966194;14323
966202;14098
966210;13921
966218;13868
966227;13773
966235;13716
966243;13646
966251;13519
966259;13350
966268;13233
966276;13098
966284;12961
966295;12731
966303;12624
966312;12311
966320;12097
966328;11807
966336;11707
966344;11703
966353;11808
966361;11886
966369;12086
966377;12349
966385;12750
966394;13116
966402;13531
966410;13880
966418;14171
966426;14298
966435;14449
966443;14568
966451;14605
966459;14560
966467;14508
966476;14446
966484;14326
966492;14271
966500;14250
966508;14266
966516;14261
966525;14241
966533;14179
966541;14145
966549;14133
966557;14128
966566;14038
966574;14026
966582;13865
966592;13817
966600;13835
966609;13778
966617;13842
966625;13946
966633;14011
966641;14051
966650;14084
966658;14064
966666;14040
966674;13946
966682;13909
966691;13869
966700;13760
966708;13739
966716;13625
966724;14115
966733;13161
966740;9938
966749;6766
966757;6522
966765;13749
966774;16320
966782;15634
966790;14978
966798;14311
966806;14068
966814;13689
966823;13488
966831;13313
966839;13276
966847;13124
966855;13093
966864;12996
966872;12996
966880;12818
966888;12735
966898;12562
966907;12515
966915;12300
966923;12114
966931;11877
966939;11657
966948;11431
966956;11402
966964;11331
966972;11454
966980;11546
966989;11843
966997;12166
967005;12640
967013;13043
967021;13433
967030;13605
967038;13820
967046;13838
967054;13970
967062;13977
967070;14020
967079;13878
967087;13891
967095;13784
967103;13782
967111;13664
967120;13666
967128;13571
967136;13576
967144;13508
967152;13558
967161;13467
967169;13562
967177;13530
967185;13582
967193;13538
967205;13627
967213;13459
967221;13371
967229;13233
967237;13287
967246;13240
967254;13315
967262;13298
967270;13452
967278;13519
967287;13667
967295;13680
967303;13737
967311;13615
967319;13678
967327;13585
967336;13567
967344;13370
967352;13973
967360;13278
967368;10213
967377;5895
967385;4798
967393;11626
967401;15508
967409;15210
967418;14529
967426;14072
967434;13819
967442;13485
967450;13356
967459;13232
967467;13279
967475;13188
967483;13206
967491;13135
967503;13259
967511;13244
967519;13245
967527;13085
967535;13073
967544;12880
967552;12754
967560;12395
967568;12273
967576;12053
967585;12010
967593;11917
967601;12051
967609;12102
967617;12402
967625;12643
967634;13117
967642;13444
967650;13926
967658;14137
967666;14445
967675;14469
967683;14570
967691;14487
967699;14489
967707;14316
967716;14292
967724;14138
967732;14106
967740;13981
967748;13964
967757;13883
967765;13871
967773;13815
967781;13782
967789;13781
967798;13769
967809;13831
967817;14002
967825;13936
967833;14072
967842;13989
967850;14011
967858;13870
967866;13778
967874;13600
967882;13652
967891;13667
967899;13741
967907;13702
967915;13804
967923;13894
967932;14035
967940;14091
967948;14134
967956;14089
967964;14104
967973;14092
967981;14077
967989;14014
967997;14080
968005;14482
968014;12731
968022;8718
968030;5363
968038;7829
968046;15199
968055;16147
968063;15464
968071;14892
968079;14598
968087;14334
968095;14091
968104;14051
968115;13994
968123;13956
968131;13845
968140;13736
968148;13649
968156;13523
968164;13400
968172;13321
968180;13174
968189;13058
968197;12828
968205;12662
968213;12374
968221;12272
968230;12103
968238;12118
968246;12116
968254;12311
968262;12401
968271;12680
968279;12959
968287;13469
968295;13788
968303;14205
968312;14347
968320;14589
968328;14561
968336;14685
968344;14574
968353;14662
968361;14547
968369;14566
968377;14348
968385;14397
968393;14231
968402;14271
968413;14194
968421;14257
968429;14184
968438;14168
968446;14077
968454;14130
968462;14074
968470;14166
968478;14128
968487;14137
968495;13910
968503;13791
968511;13650
968519;13740
968528;13663
968536;13780
968544;13686
968552;13899
968560;13931
968569;14103
968577;13983
968585;14096
968593;13900
968601;13968
968610;13802
968618;13900
968626;13708
968634;14010
968642;14194
968650;12445
968659;8112
968667;5066
968675;8365
968683;15436
968691;15914
968700;15343
968708;14713
968719;14611
968727;14306
968735;14278
968744;14078
968752;14097
968760;13862
968768;13896
968776;13683
968785;13723
968793;13509
968801;13573
968809;13340
968817;13348
968826;13113
968834;13015
968842;12641
968850;12480
968858;12158
968867;12113
968875;12003
968883;12063
968891;12034
968899;12253
968908;12451
968916;12917
968924;13262
968932;13722
968940;13978
968948;14284
968957;14334
968965;14436
968973;14458
968981;14499
968989;14394
968998;14370
969006;14317
969014;14325
969025;14245
969033;14364
969042;14188
969050;14249
969058;14152
969066;14234
969074;14125
969083;14253
969091;14118
969099;14166
969107;13961
969115;13864
969124;13655
969132;13679
969140;13587
969148;13667
969156;13654
969165;13724
969173;13797
969181;13827
969189;13835
969197;13831
969206;13822
969214;13789
969222;13739
969230;13593
969238;13573
969246;13410
969255;13973
969263;13084
969271;9978
969279;6636
969287;6154
969296;13266
969304;16288
969312;15614
969323;14722
969331;14502
969340;14221
969348;13928
969356;13738
969364;13586
969372;13472
969381;13401
969389;13307
969397;13183
969405;13093
969413;12994
969422;12882
969430;12777
969438;12674
969446;12527
969454;12357
969463;12125
969471;11936
969479;11748
969487;11726
969495;11711
969503;11905
969512;12111
969520;12487
969528;12915
969536;13492
969544;13903
969553;14322
969561;14546
969569;14801
969577;14832
969585;14872
969594;14854
969602;14907
969610;14760
969618;14679
969628;14540
969637;14480
969645;14306
969653;14229
969661;14064
969669;13942
969678;13894
969686;13915
969694;13915
969702;13988
969710;13955
969719;13925
969727;13813
969735;13773
969743;13631
969751;13588
969759;13613
969768;13795
969776;13785
969784;13869
969792;13858
969800;13970
969809;13884
969817;13899
969825;13786
969833;13869
969841;13728
969850;13742
969858;13509
969866;13423
969874;13836
969882;12853
969891;9235
969899;5791
969907;5927
969915;13693
969923;15670
969935;15083
969943;14453
969951;14194
969959;13733
969967;13750
969976;13579
969984;13566
969992;13391
970000;13429
970008;13302
970017;13246
970025;13079
970033;13068
970041;12911
970049;12899
970057;12724
970066;12663
970074;12356
970082;12211
970090;11971
970098;11958
970107;11868
970115;11999
970123;12082
970131;12311
970139;12500
970148;12914
970156;13319
970164;13758
970172;14029
970180;14314
970189;14467
970197;14570
970205;14532
970213;14547
970221;14436
970233;14451
970241;14364
970249;14352
970257;14160
970265;14164
970274;14028
970282;14049
970290;13953
970298;14023
970306;13985
970314;14031
970323;13983
970331;14029
970339;13935
970347;13957
970355;13765
970364;13677
970372;13531
970380;13545
970388;13471
970396;13577
970405;13643
970413;13766
970421;13848
970429;13883
970437;13894
970446;13907
970454;13907
970462;13810
970470;13790
970478;13664
970487;13595
970495;14065
970503;13817
970511;10993
970519;6734
970527;4981
970539;14090
970547;16009
970555;15519
970563;14931
970572;14657
970580;14357
970588;14119
970596;13966
970604;13841
970612;13750
970621;13767
970629;13675
970637;13633
970645;13494
970653;13497
970662;13331
970670;13201
970678;13015
970686;12916
970694;12607
970703;12432
970711;12107
970719;12003
970727;11832
970735;11958
970744;11936
970752;12169
970760;12250
970768;12679
970776;12958
970785;13461
970793;13730
970801;14081
970809;14118
970817;14318
970825;14231
970834;14302
970845;14244
970853;14275
970861;14115
970870;14094
970878;13938
970886;13931
970894;13784
970902;13827
970910;13742
970919;13836
970927;13718
970935;13813
970943;13766
970951;13865
970960;13711
970968;13763
970976;13515
970984;13452
970992;13283
971001;13376
971009;13287
971017;13477
971025;13446
971033;13665
971042;13678
971050;13811
971058;13722
971066;13865
971074;13741
971082;13831
971091;13724
971099;13860
971107;13783
971115;14513
971123;13350
971132;9842
971143;4906
971151;8280
971159;15218
971167;15937
971176;15199
971184;14864
971192;14555
971200;14349
971208;14109
971217;14121
971225;13929
971233;13933
971241;13775
971249;13796
971258;13617
971266;13612
971274;13427
971282;13410
971290;13181
971299;13046
971307;12766
971315;12641
971323;12342
971331;12176
971340;11924
971348;11940
971356;11927
971364;12080
971372;12180
971380;12481
971389;12773
971397;13209
971405;13556
971413;13971
971421;14184
971430;14401
971438;14481
971449;14595
971457;14528
971465;14523
971474;14300
971482;14334
971490;14195
971498;14226
971506;14098
971515;14129
971523;14033
971531;14039
971539;13946
971547;13993
971556;13969
971564;14089
971572;14038
971580;14047
971588;13951
971597;13847
971605;13672
971613;13681
971621;13654
971629;13670
971638;13708
971646;13830
971654;13909
971662;14038
971670;14090
971678;14096
971687;14102
971695;14056
971703;14079
971711;13999
971719;14001
971728;13780
971736;14281
971744;13323
971755;8607
971763;5468
971772;7703
971780;15118
971788;15589
971796;14933
971804;14402
971813;14263
971821;14082
971829;13855
971837;13783
971845;13710
971854;13680
971862;13591
971870;13553
971878;13477
971886;13398
971895;13257
971903;13233
971911;13078
971919;12970
971927;12689
971935;12557
971944;12269
971952;12162
971960;11952
971968;11951
971976;11961
971985;12169
971993;12197
972001;12574
972009;12864
972017;13373
972026;13706
972034;14182
972042;14380
972052;14741
972060;14848
972069;14954
972077;14913
972085;14969
972093;14868
972101;14835
972110;14712
972118;14674
972126;14600
972134;14616
972142;14483
972151;14458
972159;14305
972167;14328
972175;14187
972183;14207
972191;13985
972200;13892
972208;13693
972216;13776
972225;13660
972233;13779
972242;13718
972250;13894
972258;13894
972266;14076
972274;14006
972283;14069
972291;13941
972299;13991
972307;13847
972315;13849
972324;13661
972332;13685
972340;13860
972348;13883
972358;10108
972367;6916
972375;6349
972383;13636
972391;16427
972399;15914
972408;15083
972416;14531
972424;14174
972432;13995
972440;13691
972449;13664
972457;13423
972465;13411
972473;13195
972481;13181
972489;12999
972498;13016
972506;12838
972514;12854
972522;12649
972530;12588
972539;12323
972547;12249
972555;11986
972563;11949
972571;11803
972580;11888
972588;11892
972596;12060
972604;12224
972612;12623
972621;13013
972629;13512
972637;13886
972645;14263
972653;14449
972665;14666
972673;14691
972681;14812
972689;14723
972697;14747
972706;14615
972714;14636
972722;14494
972730;14441
972738;14243
972746;14196
972755;13997
972763;13981
972771;13864
972779;13895
972787;13814
972796;13815
972804;13692
972812;13697
972820;13563
972828;13497
972837;13364
972845;13316
972853;13229
972861;13270
972869;13297
972878;13355
972886;13439
972894;13560
972902;13615
972910;13611
972919;13615
972927;13604
972935;13531
972943;13479
972951;13478
972963;13878
972971;13779
972979;11397
972987;7119
972995;4741
973004;9743
973012;15451
973020;15475
973028;14839
973036;14329
973044;14131
973053;13787
973061;13652
973069;13526
973077;13484
973085;13411
973094;13354
973102;13302
973110;13220
973118;13146
973126;13033
973135;12952
973143;12817
973151;12690
973159;12536
973167;12353
973176;12106
973184;12012
973192;11898
973200;11961
973208;11969
973217;12104
973225;12238
973233;12552
973241;12889
973249;13363
973257;13686
973269;14176
973277;14452
973285;14602
973293;14695
973302;14744
973310;14795
973318;14797
973326;14750
973334;14703
973342;14589
973351;14544
973359;14435
973367;14342
973375;14221
973383;14183
973392;14122
973400;14081
973408;14001
973416;14000
973424;13950
973433;13961
973441;13927
973449;13919
973457;13799
973465;13620
973474;13455
973482;13500
973490;13490
973498;13503
973506;13457
973514;13522
973523;13557
973531;13693
973539;13653
973547;13673
973555;13620
973564;13626
973575;13538
973583;13513
973591;13332
973599;13883
973608;13534
973616;10677
973624;6175
973632;4427
973640;10653
973649;15458
973657;15352
973665;14727
973673;14347
973681;14168
973690;13841
973698;13710
973706;13534
973714;13512
973722;13433
973731;13455
973739;13397
973747;13375
973755;13263
973763;13254
973772;13079
973780;12973
973788;12753
973796;12554
973804;12253
973812;12076
973821;11822
973829;11722
973837;11671
973845;11775
973853;11873
973862;12056
973873;12548
973881;13094
973889;13467
973897;13895
973906;14155
973914;14425
973922;14515
973930;14603
973938;14538
973947;14547
973955;14488
973963;14487
973971;14400
973979;14380
973988;14278
973996;14276
974004;14218
974012;14185
974020;14081
974029;14056
974037;14016
974045;14013
974053;13982
974061;14044
974070;14079
974078;14136
974086;14065
974094;13889
974102;13782
974110;13796
974119;13835
974127;13866
974135;13875
974143;13933
974151;13958
974160;14055
974168;14131
974179;14154
974187;14160
974195;14125
974204;14049
974212;14004
974220;13889
974228;14060
974236;14289
974245;12275
974253;8018
974261;4935
974269;8660
974277;15447
974286;15794
974294;15104
974302;14611
974310;14383
974318;14069
974327;13883
974335;13780
974343;13717
974351;13694
974359;13670
974367;13608
974376;13509
974384;13434
974392;13314
974400;13213
974408;13031
974417;12853
974425;12586
974433;12379
974441;12119
974449;11977
974458;11797
974466;11782
974474;11770
974484;11980
974492;12201
974501;12454
974509;12885
974517;13330
974525;13710
974533;14023
974542;14190
974550;14323
974558;14380
974566;14378
974574;14334
974583;14325
974591;14228
974599;14186
974607;14145
974615;14147
974623;14128
974632;14135
974640;14079
974648;14112
974656;14095
974664;14156
974673;14152
974682;14227
974690;14257
974698;14370
974706;14312
974715;14288
974723;14099
974731;14021
974739;13930
974747;13965
974756;13915
974764;13984
974772;13993
974782;14233
974790;14273
974799;14287
974807;14191
974815;14191
974823;14117
974831;14111
974840;13984
974848;13993
974856;14127
974864;14356
974872;12336
974881;8399
974889;5614
974897;9778
974905;16226
974913;16236
974921;15374
974930;14683
974938;14381
974946;14170
974954;13853
974962;13781
974971;13641
974979;13575
974987;13395
974995;13402
975003;13310
975012;13278
975020;13164
975028;13100
975036;12942
975044;12805
975053;12569
975061;12400
975069;12114
975077;11884
975088;11712
975097;11801
975105;11810
975113;12004
975121;12142
975129;12462
975138;12801
975146;13294
975154;13671
975162;14022
975170;14198
975178;14309
975187;14379
975195;14450
975203;14427
975211;14439
975219;14371
975228;14360
975236;14285
975244;14259
975252;14154
975260;14112
975269;14026
975277;14023
975285;13947
975293;13943
975301;13919
975310;13916
975318;13833
975326;13738
975334;13568
975342;13450
975351;13381
975359;13401
975367;13408
975375;13485
975383;13558
975395;13827
975403;13842
975411;13857
975419;13768
975427;13836
975436;13770
975444;13822
975452;13737
975460;13724
975468;13762
975476;14117
975485;12246
975493;8422
975501;5630
975509;8630
975517;15782
975526;16201
975534;15516
975542;14865
975550;14528
975558;14239
975567;13970
975575;13838
975583;13735
975591;13685
975599;13619
975608;13542
975616;13446
975624;13321
975632;13197
975640;13064
975649;12976
975657;12803
975665;12632
975673;12351
975681;12169
975693;11927
975701;11823
975709;11812
975717;11841
975725;11960
975734;12135
975742;12412
975750;12788
975758;13221
975766;13585
975774;13844
975783;14109
975791;14286
975799;14361
975807;14427
975815;14450
975824;14381
975832;14375
975840;14334
975848;14262
975856;14177
975865;14110
975873;14008
975881;13927
975889;13935
975897;13926
975906;13880
975914;13912
975922;13942
975930;14184
975938;14428
975946;14568
975955;14533
975963;14489
975971;14464
975979;14565
975987;14736
975999;15109
976007;15348
976015;15497
976023;15617
976031;15769
976040;15760
976048;15729
976056;15601
976064;15539
976072;15444
976081;15307
976089;15067
976097;15161
976105;15180
976113;12709
976122;7891
976130;5146
976138;8900
976146;15628
976154;16332
976163;15751
976171;15283
976179;14988
976187;14564
976195;14320
976204;14158
976212;14063
976220;14018
976228;13941
976236;13797
976244;13774
976253;13638
976261;13637
976269;13482
976277;13305
976285;13121
976294;13009
976305;12759
976313;12551
976321;12284
976329;12175
976338;12100
976346;12193
976354;12303
976362;12524
976370;12890
976379;13314
976387;13710
976395;14078
976403;14358
976411;14580
976420;14612
976428;14633
976436;14652
976444;14640
976452;14584
976461;14527
976469;14490
976477;14433
976485;14343
976493;14318
976502;14341
976510;14323
976518;14272
976526;14226
976534;14153
976542;14075
976551;13962
976559;13895
976567;13773
976575;13618
976583;13409
976592;13232
976603;13139
976611;13163
976619;13022
976627;12969
976636;12948
976644;12978
976652;13037
976660;13060
976668;13047
976677;13019
976685;12990
976693;13004
976701;12945
976709;12842
976718;12789
976726;13440
976734;12244
