Tempo (ms);Valor
780430;14799
780438;14682
780446;14509
780455;14329
780463;14202
780471;14046
780479;13875
780487;13650
780496;13847
780504;13388
780512;10832
780520;7228
780528;6191
780537;12026
780545;16610
780553;16000
780561;14968
780569;14237
780578;13959
780586;13590
780594;13411
780602;13267
780610;13244
780618;13155
780627;13150
780635;13027
780643;13050
780651;12948
780659;12899
780668;12705
780676;12639
780684;12376
780692;12206
780700;11926
780709;11701
780717;11424
780728;11393
780736;11468
780744;11592
780753;11651
780761;11818
780769;12090
780777;12495
780785;12856
780794;13249
780802;13518
780810;13735
780818;13819
780826;13917
780835;13883
780843;13944
780851;13941
780859;14058
780867;14023
780876;14009
780884;13919
780892;14081
780900;14133
780908;14130
780916;14011
780925;14073
780933;14012
780941;14036
780949;14008
780957;14031
780966;13941
780974;14002
780982;13996
780990;14011
780998;13951
781007;13976
781015;13834
781023;13642
781034;13513
781042;13658
781051;13648
781059;13715
781067;13677
781075;13783
781083;13858
781092;14002
781100;13910
781108;13938
781116;13888
781124;13911
781133;13878
781141;13890
781149;13774
781157;13737
781165;14078
781174;12709
781182;9171
781190;6553
781198;8361
781206;15928
781214;16748
781223;15775
781231;14734
781239;14375
781247;14039
781255;13773
781264;13568
781272;13508
781280;13460
781288;13407
781296;13314
781305;13227
781313;13176
781321;13025
781331;12960
781339;12909
781348;12680
781356;12511
781364;12235
781372;12064
781380;11791
781389;11675
781397;11644
781405;11748
781413;11812
781421;12030
781430;12275
781438;12666
781446;13079
781454;13481
781462;13803
781470;14088
781480;14275
781488;14351
781496;14435
781504;14479
781512;14471
781521;14421
781529;14365
781537;14328
781545;14260
781553;14214
781562;14197
781570;14119
781578;14118
781586;14070
781594;14131
781603;14091
781611;14130
781619;14078
781627;14115
781637;14136
781646;14162
781654;14151
781662;14111
781670;14101
781678;14004
781687;13820
781695;13648
781703;13572
781711;13638
781719;13739
781727;13740
781736;13736
781744;13822
781752;13927
781760;13977
781768;13928
781777;13894
781785;13805
781793;13881
781801;13773
781809;13724
781818;13685
781826;13802
781834;13793
781842;11835
781850;8068
781859;6080
781867;10133
781875;16734
781883;16418
781891;15395
781900;14519
781908;14255
781916;13862
781924;13672
781932;13526
781944;13480
781952;13448
781960;13455
781968;13323
781976;13219
781985;13094
781993;13028
782001;12852
782009;12770
782017;12581
782025;12398
782034;12140
782042;11941
782050;11710
782058;11608
782066;11648
782075;11797
782083;11801
782091;12009
782099;12276
782107;12732
782116;13179
782124;13646
782132;13926
782140;14242
782148;14415
782157;14572
782165;14548
782173;14607
782181;14557
782189;14552
782198;14492
782206;14486
782214;14386
782222;14408
782230;14376
782242;14371
782250;14349
782258;14330
782266;14207
782274;14179
782282;14111
782291;14193
782299;14093
782307;14093
782315;14035
782323;14095
782332;14031
782340;14062
782348;13900
782356;13833
782364;13563
782373;13504
782381;13531
782389;13614
782397;13569
782405;13685
782414;13690
782422;13811
782430;13903
782438;13968
782446;13926
782455;13932
782463;13926
782471;13971
782479;13916
782487;13901
782495;13921
782504;14137
782512;12358
782520;8663
782528;6172
782536;9238
782548;17114
782556;16488
782564;15378
782572;14688
782580;14314
782589;14042
782597;13804
782605;13666
782613;13509
782621;13457
782630;13370
782638;13313
782646;13257
782654;13171
782662;12973
782671;12855
782679;12720
782687;12507
782695;12344
782703;12146
782712;11848
782720;11638
782728;11593
782736;11555
782744;11572
782753;11695
782761;11931
782769;12194
782777;12430
782785;12827
782793;13247
782802;13563
782810;13810
782818;13915
782826;14081
782834;14091
782843;14162
782854;14167
782862;14211
782870;14134
782878;14097
782887;14007
782895;13903
782903;13835
782911;13769
782919;13697
782928;13738
782936;13750
782944;13693
782952;13677
782960;13739
782969;13771
782977;13797
782985;13774
782993;13798
783001;13805
783010;13777
783018;13516
783026;13414
783034;13392
783042;13484
783050;13451
783059;13458
783067;13542
783075;13661
783083;13750
783091;13842
783100;13765
