Tempo (ms);Valor
1200666;15002
1200675;14866
1200683;14990
1200691;14711
1200699;14770
1200707;14447
1200716;14521
1200724;14189
1200732;14307
1200740;13997
1200748;14089
1200756;13802
1200765;13969
1200773;13767
1200782;14008
1200790;13741
1200798;13896
1200807;13669
1200815;13783
1200823;13466
1200831;13624
1200839;13357
1200848;13555
1200856;13427
1200864;13690
1200872;13549
1200880;13936
1200889;13814
1200897;14000
1200905;13817
1200913;13960
1200921;13752
1200930;13935
1200941;13782
1200949;13970
1200957;13945
1200965;12770
1200974;9441
1200982;7356
1200990;8609
1200998;15778
1201006;16388
1201015;15772
1201023;14712
1201031;14564
1201039;14042
1201047;13984
1201055;13636
1201064;13766
1201072;13444
1201080;13591
1201088;13333
1201096;13454
1201105;13152
1201114;13224
1201122;12911
1201130;12990
1201138;12673
1201147;12726
1201155;12322
1201163;12307
1201171;11972
1201179;11995
1201188;11837
1201196;12068
1201204;12093
1201212;12352
1201220;12418
1201232;13105
1201240;13300
1201248;13830
1201256;13911
1201264;14333
1201273;14230
1201281;14527
1201289;14364
1201297;14529
1201305;14291
1201314;14413
1201322;14141
1201330;14259
1201338;14050
1201346;14183
1201354;13913
1201363;14020
1201371;13873
1201379;13994
1201387;13876
1201395;13977
1201404;13769
1201412;13819
1201420;13569
1201429;13626
1201437;13503
1201446;13626
1201454;13556
1201462;13725
1201470;13717
1201478;13915
1201487;13925
1201495;14046
1201503;13973
1201514;14131
1201522;13953
1201531;14163
1201539;13895
1201547;13931
1201555;13819
1201563;13491
1201572;11111
1201580;7996
1201588;6544
1201596;11814
1201604;16093
1201613;15829
1201621;14737
1201629;14318
1201637;13937
1201645;13775
1201654;13459
1201662;13483
1201670;13303
1201678;13360
1201686;13217
1201694;13244
1201703;13100
1201711;13089
1201719;12950
1201727;12890
1201735;12741
1201744;12610
1201753;12383
1201761;12201
1201769;11984
1201777;11798
1201786;11709
1201797;11931
1201805;11873
1201813;12195
1201821;12241
1201830;12662
1201838;12867
1201846;13430
