Tempo (ms);Valor
1500866;15021
1500874;14701
1500883;14747
1500891;14409
1500899;14504
1500907;14206
1500915;14307
1500924;13940
1500932;13955
1500940;13577
1500948;13693
1500956;13469
1500965;13691
1500973;13500
1500981;13704
1500989;13574
1500998;13851
1501007;13709
1501015;13895
1501023;13702
1501031;13844
1501039;13651
1501048;13790
1501056;13508
1501064;13521
1501072;13871
1501080;13326
1501089;10210
1501097;6558
1501105;5453
1501113;12260
1501121;15532
1501129;15204
1501138;14383
1501149;14227
1501157;13852
1501165;13791
1501174;13414
1501182;13497
1501190;13176
1501198;13297
1501206;13010
1501214;13150
1501223;12902
1501231;13001
1501239;12727
1501247;12810
1501255;12529
1501264;12613
1501272;12298
1501280;12265
1501288;11867
1501296;11792
1501305;11471
1501313;11584
1501321;11542
1501329;11815
1501338;11819
1501347;12184
1501355;12442
1501363;12946
1501371;13267
1501379;13763
1501388;13981
1501396;14243
1501404;14310
1501412;14475
1501420;14479
1501432;14612
1501440;14454
1501448;14586
1501456;14312
1501464;14429
1501473;14145
1501481;14281
1501489;14070
1501497;14200
1501505;13999
1501513;14130
1501522;13899
1501530;14047
1501538;13887
1501546;13978
1501554;13822
1501563;13932
1501571;13806
1501579;13926
1501587;13806
1501595;13891
1501604;13849
1501612;13938
1501620;13865
1501628;13893
1501636;13739
1501645;13635
1501653;13532
1501662;13597
1501670;13646
1501678;13643
1501687;13637
1501695;13695
1501703;13750
1501714;13993
1501722;13848
1501731;13978
1501739;13783
1501747;13894
1501755;13676
1501763;13772
1501772;13550
1501780;14036
1501788;13662
1501796;11324
1501804;7644
1501812;6222
1501821;11276
1501829;16349
1501837;15768
1501845;15041
1501853;14305
1501862;14152
1501870;13870
1501878;13724
1501886;13565
1501894;13519
1501903;13472
1501911;13444
1501919;13371
1501927;13321
1501935;13257
1501944;13130
1501952;13038
1501960;12896
1501968;12814
1501976;12605
1501986;12493
1501996;12263
1502004;11928
1502012;11828
1502020;11620
1502029;11749
1502038;11776
1502046;12043
1502054;12165
1502062;12630
1502071;12987
1502079;13467
1502087;13777
1502095;14151
1502103;14312
1502111;14465
1502120;14474
1502128;14521
1502136;14459
1502144;14465
1502152;14454
1502161;14393
1502169;14361
1502177;14249
1502185;14179
1502193;14089
1502202;14060
1502210;13941
1502218;13988
1502226;13914
1502234;13969
1502243;13879
1502251;13984
1502259;13861
1502267;13970
1502278;14006
1502287;13981
