Tempo (ms);Valor
480263;14499
480271;14343
480280;14117
480289;13924
480297;13719
480305;13533
480313;13352
480321;13185
480329;13070
480338;12947
480346;12853
480354;12731
480362;12507
480370;12301
480379;12084
480387;11870
480395;11698
480403;11706
480411;11764
480420;11846
480428;11930
480436;12094
480444;12408
480452;12857
480461;13314
480469;13707
480477;13949
480485;14163
480493;14294
480502;14353
480510;14396
480518;14415
480526;14378
480534;14320
480542;14249
480551;14209
480562;14160
480570;14190
480578;14063
480586;14049
480595;14074
480603;14071
480611;14108
480619;14168
480627;14284
480636;14401
480644;14421
480652;14449
480660;14455
480668;14466
480677;14438
480685;14389
480693;14242
480701;14132
480709;14037
480718;14003
480726;13926
480734;13918
480742;13903
480750;13901
480759;13878
480767;13829
480775;13727
480783;13645
480791;13574
480799;13504
480808;13402
480816;13271
480824;13143
480832;13393
480840;13349
480849;10921
480860;5561
480868;5056
480876;12709
480884;15618
480893;15056
480901;14386
480909;14175
480917;14103
480925;13869
480934;13759
480942;13718
480950;13701
480958;13669
480966;13597
480975;13466
480983;13349
480991;13248
480999;13132
481007;13022
481016;12926
481024;12732
481032;12528
481040;12248
481048;11997
481057;11778
481065;11707
481073;11751
481081;11871
481089;11970
481097;12219
481106;12496
481114;12848
481122;13240
481130;13662
481138;14027
481147;14296
481155;14460
481166;14671
481174;14731
481182;14710
481191;14702
481199;14699
481207;14610
481215;14573
481223;14533
481232;14568
481240;14528
481248;14494
481256;14427
481264;14390
481273;14381
481281;14360
481289;14320
481297;14349
481305;14348
481314;14308
481322;14255
481330;14125
481338;14023
481346;13944
481354;13908
481363;13895
481371;13942
481379;14020
481387;14044
481395;14136
481404;14191
481412;14202
481420;14145
481428;14170
481436;14169
481445;14197
481453;14182
481461;14129
481472;14163
481480;14595
481489;12698
481497;8724
481505;6197
481513;8816
481521;16237
481530;16638
481538;15876
481546;15224
481554;14783
481562;14548
481571;14201
481579;14019
481587;13877
481595;13774
481603;13714
481612;13598
481620;13501
481628;13414
481636;13279
481644;13156
481652;13023
481661;12913
481669;12720
481677;12505
481685;12242
481693;12003
481702;11827
481710;11762
481718;11816
481726;11904
481734;12071
481743;12306
