Tempo (ms);Valor
840464;14986
840472;14869
840481;14745
840489;14602
840497;14508
840505;14380
840513;14267
840521;14131
840530;14094
840538;14003
840546;13981
840554;13953
840562;13876
840571;13700
840579;13647
840587;13559
840595;13482
840603;13481
840612;13438
840620;13405
840628;13426
840636;13508
840644;13623
840653;13689
840661;13646
840669;13636
840677;13583
840685;13592
840694;13463
840702;13442
840710;13475
840718;13701
840726;11807
840734;8083
840743;5584
840751;8165
840762;15727
840770;15606
840778;14866
840787;14365
840795;14109
840803;13833
840811;13588
840819;13528
840828;13516
840836;13460
840844;13332
840852;13256
840860;13156
840869;13051
840877;12904
840885;12803
840893;12632
840901;12482
840910;12300
840918;12097
840926;11810
840934;11609
840942;11414
840951;11365
840959;11312
840967;11448
840975;11598
840983;11886
840991;12219
841000;12726
841008;13158
841016;13642
841024;13934
841032;14302
841041;14364
841049;14509
841057;14529
841068;14678
841076;14694
841085;14634
841093;14528
841101;14509
841109;14407
841117;14369
841126;14282
841134;14283
841142;14198
841150;14197
841158;14165
841167;14202
841175;14131
841183;14242
841191;14238
841199;14279
841208;14204
841216;14262
841224;14184
841232;14191
841240;14102
841249;14144
841257;14069
841265;14074
841273;14024
841281;14031
841289;13947
841298;13990
841306;13949
841314;13894
841322;13843
841330;13725
841339;13506
841347;13377
841355;13283
841366;13393
841374;13433
841383;13425
841391;13417
841399;13604
841407;13623
841415;13698
841424;13637
841432;13689
841440;13639
841448;13639
841456;13489
841465;13422
841473;13599
841481;13453
841489;11147
841497;7512
841506;5683
841514;9959
841522;15547
841530;15719
841538;14980
841546;14423
841555;14130
841563;13841
841571;13628
841579;13561
841587;13433
841596;13345
841604;13281
841612;13256
841620;13240
841628;13181
841637;13095
841645;13026
841653;12953
841661;12847
841672;12709
841681;12546
841689;12288
841697;12023
841705;11802
841713;11730
841722;11713
841730;11820
841738;11927
841746;12171
841754;12519
841763;12991
841771;13466
841779;13845
841787;14108
841795;14317
841804;14429
841812;14486
841820;14508
841828;14515
841836;14504
841844;14452
841853;14408
841861;14352
841869;14361
841877;14294
841885;14223
841894;14107
841902;14039
841910;13919
841918;13853
841926;13814
841935;13838
841943;13810
841951;13836
841959;13816
841967;13842
841979;13874
841987;13921
841995;13903
842003;13909
842011;13900
842020;13908
842028;13896
842036;13887
842044;13822
842052;13835
842061;13838
842069;13893
842077;13852
842085;13853
842093;13845
842102;13748
842110;13560
842118;13565
842126;13534
842134;13629
842142;13590
842151;13640
842159;13522
842167;13569
842175;13646
842183;13775
842192;13716
842200;13762
842208;13709
842216;13746
842224;13780
842233;13814
842241;14175
842249;13685
842257;10917
842265;7318
842276;7317
842284;14560
842292;16228
842300;15601
842308;14724
842317;14331
842325;13964
842333;13716
842342;13544
842350;13548
842359;13335
842367;13290
842375;13176
842383;13114
842391;12955
842399;12999
842408;12833
842416;12754
842424;12494
842432;12379
842440;12164
842449;11992
842457;11653
842465;11632
842473;11451
842481;11449
842490;11473
842498;11664
842506;11753
842514;12050
842522;12397
842531;12897
842539;13322
842547;13780
842555;14012
842563;14282
842572;14367
842582;14555
842590;14533
842598;14588
842606;14524
842615;14658
842623;14478
842631;14480
842639;14206
842647;14228
842655;14101
842664;14106
842672;14053
842680;14004
842688;13928
842696;13951
842705;13931
842713;14006
842721;14018
842729;14025
842737;13983
842746;13962
842754;13904
842762;13827
842770;13830
842778;13739
842787;13828
842795;13764
842803;13858
842811;13786
842819;13902
842828;13808
842836;13861
842844;13573
842852;13472
842860;13159
842868;13274
842880;13204
842888;13208
842896;13152
842904;13266
842913;13281
842921;13331
842929;13368
842937;13445
842945;13369
842953;13452
842962;13384
842970;13404
842978;13332
842986;13534
842994;13838
843003;12119
843011;7965
843019;5431
843027;8189
843035;15540
843044;15936
843052;15230
843060;14394
843068;14348
843076;13934
843085;13803
843093;13483
843101;13560
843109;13338
843117;13377
843126;13145
843134;13241
843142;13035
843150;13130
843158;12875
843166;12902
843175;12590
843186;12445
843194;12227
843202;12093
843210;11773
843219;11696
843227;11475
843235;11603
843243;11591
843251;11833
843260;11894
843268;12420
843276;12741
843284;13311
843292;13634
843301;14153
843309;14296
843317;14620
843325;14530
843333;14709
843342;14612
843350;14785
843358;14567
843366;14692
843374;14531
843383;14667
843391;14402
843399;14489
843407;14301
843415;14440
843423;14279
843432;14391
843440;14213
843448;14346
843456;14209
843464;14346
843473;14194
843481;14260
843492;14193
843500;14353
843508;14150
843517;14341
843525;14216
843533;14370
843541;14171
843549;14341
843558;14113
843566;14098
843574;13764
843582;13787
843590;13570
843599;13740
843607;13583
843615;13719
843623;13646
843631;13908
843640;13846
843648;13998
843656;13842
843664;13901
843672;13803
843681;13908
843689;13743
843697;13734
843705;14093
843713;12954
843721;9509
843730;7387
843738;8369
843746;15497
843754;17108
843762;16063
843771;15117
843779;14416
843787;14157
843798;13900
843806;13595
843815;13590
843823;13342
843831;13365
843839;13217
843847;13228
843856;12986
843864;12917
843872;12718
843880;12667
843888;12466
843897;12393
843905;12124
843913;11942
843921;11633
843929;11391
843938;11287
843946;11289
843954;11419
843962;11519
843970;11754
843978;11959
843987;12456
843995;12831
844003;13273
844011;13610
844019;13971
844028;14028
844036;14248
844044;14233
844052;14371
844060;14261
844069;14360
844077;14142
844085;14257
844096;14165
844104;14135
844113;14094
844121;14074
844129;14040
844137;14057
844145;14015
844154;14044
844162;13974
844170;14037
844178;13931
844186;14050
844195;13909
844203;13905
844211;13785
844219;13961
844227;13852
844236;14033
844244;13848
844252;13876
844260;13637
844268;13690
844276;13477
844285;13587
844293;13446
844301;13695
844309;13647
844317;13938
844326;13843
844334;14015
844342;13838
844350;14034
844358;13916
844367;14060
844375;13771
844383;13923
844391;14052
844402;11280
844411;8012
844419;7664
844427;13101
844435;17285
844443;16271
844452;15501
844460;14577
844468;14384
844476;13960
844484;13873
844493;13577
844501;13713
844509;13491
844517;13595
844525;13356
844534;13491
844542;13250
844550;13372
844558;13095
844566;13100
844574;12742
844583;12733
844591;12335
844599;12241
844607;11809
844615;11837
844624;11585
844632;11799
844640;11686
844648;11974
844656;12047
844665;12572
844673;12894
844681;13492
844689;13797
844699;14368
844708;14403
844716;14692
844724;14557
844732;14751
844740;14556
844749;14670
844757;14460
844765;14590
844773;14323
844781;14449
844790;14209
844798;14303
844806;14099
844814;14235
844822;14068
844830;14212
844839;14021
844847;14152
844855;14048
844863;14170
844871;13998
844880;14096
844889;14000
844897;14109
844905;14016
844913;14057
844922;13947
844930;14015
844938;13932
844946;13946
844954;13882
844963;13910
844971;13857
844979;13843
844987;13805
844995;13679
845006;13499
845014;13673
845022;13522
845030;13598
845038;13446
845047;13602
845055;13499
845063;13618
845071;13591
845079;13782
845087;13692
845096;13772
845104;13639
845112;13635
845120;13558
845128;13942
845137;12699
845145;9088
845153;5533
845161;6525
845169;13488
845178;15680
845186;15236
845194;14752
845202;14567
845210;14158
845219;14048
845227;13874
845235;13844
845243;13740
845251;13759
845260;13626
845268;13659
845276;13498
845284;13531
845292;13335
845300;13365
845312;13214
845320;13020
845328;12852
845336;12604
845345;12383
845353;12147
845361;12003
845369;11967
845377;12003
845385;12126
845394;12270
845402;12562
845410;12903
845418;13419
845426;13740
845435;14122
845443;14283
845451;14485
845459;14450
845467;14537
845476;14428
845484;14511
845492;14294
845500;14369
845508;14199
845517;14288
845525;14060
845533;14144
845541;13935
845549;14068
845558;13887
845566;14019
845574;13843
845582;14012
845590;13790
845598;13920
845610;13848
845618;13929
845626;13768
845634;13824
845642;13692
845651;13792
845659;13628
845667;13729
845675;13573
845683;13730
845692;13544
845700;13693
845708;13477
845716;13546
845724;13251
845733;13315
845741;13135
845749;13274
845757;13126
845765;13282
845774;13147
845782;13431
845790;13332
845798;13527
845806;13390
845815;13566
845823;13422
845831;13616
845839;13390
845847;13400
845855;13742
845864;12996
845872;9662
845880;5962
845888;6014
845896;12846
845905;15662
845916;15204
845924;14557
845932;14462
845940;13962
845949;13976
845957;13719
845965;13775
845973;13553
845981;13687
845990;13464
845998;13589
846006;13340
846014;13453
846022;13202
846031;13238
846039;12933
846047;12876
846055;12518
846063;12451
846072;12072
846080;11991
846088;11689
846096;11747
846104;11670
846113;11905
846121;11972
846129;12369
846137;12722
846145;13270
846153;13618
846162;14032
846170;14230
846178;14432
846186;14441
846194;14503
846203;14500
846211;14509
846222;14432
846230;14561
846238;14353
846247;14426
846255;14218
846263;14289
846271;14115
846279;14168
846288;14008
846296;14056
846304;13956
846312;14041
846320;13928
846329;13986
846337;13903
846345;13932
846353;13848
846361;13895
846370;13847
846378;13823
846386;13775
846394;13789
846402;13756
846410;13731
846419;13768
846427;13757
846435;13711
846443;13657
846451;13661
846460;13594
846468;13644
846476;13564
846484;13616
846492;13577
846501;13653
846509;13462
846520;13369
846528;13400
846536;13345
846545;13424
846553;13410
846561;13492
846569;13562
846577;13650
846586;13718
846594;13740
846602;13742
846610;13709
846618;13722
846627;13638
846635;13554
846643;13911
846651;13316
846659;10563
846668;6824
846676;6188
846684;12207
846692;15722
846700;15507
846708;14679
846717;14380
846725;14043
846733;13871
846741;13634
846749;13659
846758;13572
846766;13610
846774;13479
846782;13530
846790;13401
846799;13427
846807;13273
846815;13279
846826;13080
846834;12957
846843;12730
846851;12530
846859;12202
846867;11961
846875;11713
846884;11655
846892;11645
846900;11783
846908;11902
846916;12207
846925;12517
846933;13029
846941;13464
846949;13898
846957;14052
846966;14285
846974;14279
846982;14366
846990;14284
846998;14329
847006;14198
847015;14256
847023;14113
847031;14168
847039;13996
847047;14003
847056;13879
847064;13926
847072;13782
847080;13884
847088;13776
847097;13859
847105;13741
847113;13833
847121;13760
847131;13918
847140;13860
847148;13873
847156;13791
847164;13853
847172;13760
847181;13861
847189;13763
847197;13804
847205;13712
847213;13787
847222;13707
847230;13782
847238;13677
847246;13747
847254;13597
847262;13644
847271;13542
847279;13642
847287;13557
847295;13619
847303;13530
847312;13509
847320;13311
847328;13281
847336;13217
847344;13325
847354;13273
847362;13457
847370;13460
847378;13594
847386;13663
847395;13767
847403;13727
847411;13757
847419;13681
847429;13697
847438;13556
847446;14025
847454;13267
847462;10640
847470;6835
847479;6278
847487;12398
847495;16037
847503;15568
847511;14895
847519;14418
847528;14249
847536;13882
847544;13784
847552;13636
847560;13641
847569;13510
847577;13521
847585;13499
847593;13494
847601;13386
847610;13341
847618;13218
847626;13160
847634;13008
847642;12791
847651;12575
847659;12338
847667;12112
847675;11901
847683;11730
847692;11750
847700;11837
847708;11970
847716;12220
847724;12542
847736;13177
847744;13664
847752;13940
847760;14296
847768;14432
847777;14579
847785;14623
847793;14689
847801;14603
847809;14554
847817;14449
847826;14437
847834;14351
847842;14266
847850;14195
847858;14132
847867;14081
847875;14051
847883;13988
847891;13926
847899;13885
847908;13827
847916;13782
847924;13745
847932;13746
847940;13718
847949;13767
847957;13738
847965;13757
847973;13697
847981;13725
847990;13664
847998;13678
848006;13588
848014;13593
848022;13502
848034;13591
848042;13662
848050;13653
848058;13657
848066;13698
848074;13667
848083;13656
848091;13536
848099;13361
848107;13253
848115;13278
848124;13237
848132;13237
848140;13248
848148;13335
848156;13390
848165;13540
848173;13580
848181;13641
848189;13558
848197;13577
848206;13482
848214;13469
848222;13482
848230;13799
848238;11834
848247;7929
848255;5592
848263;9317
848271;16059
848279;16153
848287;15180
848296;14507
848304;14223
848312;13991
848320;13676
848328;13665
848340;13568
848348;13553
848356;13440
848364;13424
848372;13263
848381;13251
848389;13098
848397;13018
848405;12841
848413;12766
848422;12568
848430;12410
848438;12100
848446;11864
848454;11643
848463;11627
848471;11558
848479;11698
848487;11763
848495;12009
848504;12275
848512;12783
848520;13198
848528;13691
848536;13922
848545;14217
848553;14304
848561;14503
848569;14477
848577;14549
848585;14496
848594;14511
848602;14393
848610;14363
848618;14251
848626;14269
848635;14152
848646;14190
848654;14119
848662;14118
848670;14016
848679;14050
848687;13954
848695;13995
848703;13880
848711;13975
848720;13931
848728;14017
848736;13930
848744;13993
848752;13931
848761;13963
848769;13896
848777;13918
848785;13817
848793;13831
848802;13735
848810;13769
848818;13772
848826;13797
848834;13765
848842;13740
848851;13537
848859;13476
848867;13373
848875;13338
848883;13261
848892;13233
848900;13240
848908;13337
848916;13451
848924;13532
848933;13577
848944;13648
848952;13593
848960;13621
848968;13431
848977;13537
848985;13796
848993;11980
849001;7862
849009;5458
849018;8804
849026;15992
849034;16090
849042;15259
849050;14456
849059;14248
849067;13964
849075;13714
849083;13582
849091;13532
849100;13496
849108;13433
849116;13386
849124;13342
849132;13255
849140;13190
849149;13116
849157;12961
849165;12837
849173;12647
849181;12532
849190;12280
849198;12051
849206;11822
849214;11709
849222;11678
849231;11771
849239;11830
849250;12173
849258;12551
849266;12942
849275;13377
849283;13790
849291;14117
849299;14392
849307;14573
849316;14652
849324;14674
849332;14662
849340;14634
849348;14600
849357;14499
849365;14463
849373;14380
849381;14352
849389;14217
849398;14201
849406;14119
849414;14138
849422;14081
849430;14168
849438;14138
849447;14214
849455;14121
849463;14178
849471;14113
849479;14193
849488;14122
849496;14206
849504;14063
849512;14091
849520;13975
849529;14065
849537;14009
849545;14029
849556;13821
849564;13724
849573;13592
849581;13578
849589;13512
849597;13574
849605;13591
849614;13748
849622;13801
849630;13939
849638;13868
849646;13919
849655;13869
849663;13910
849671;13808
849679;13790
849687;13932
849695;13879
849704;11360
849712;7599
849720;6169
849728;11611
849736;16777
849745;16151
849753;15199
849761;14598
849769;14313
849777;14197
849786;13927
849794;13922
849802;13840
849810;13853
849818;13705
849827;13699
849835;13543
849843;13485
849853;13316
