Tempo (ms);Valor
1140638;14611
1140647;14503
1140655;14369
1140663;14196
1140671;14141
1140679;14073
1140688;13975
1140696;13804
1140704;13894
1140712;14019
1140720;11973
1140729;7743
1140737;4766
1140745;7507
1140753;15053
1140761;15848
1140770;15162
1140778;14464
1140786;14244
1140794;13878
1140802;13673
1140810;13491
1140819;13445
1140827;13339
1140835;13323
1140843;13256
1140851;13267
1140860;13190
1140868;13159
1140876;13026
1140885;12921
1140893;12738
1140902;12592
1140910;12352
1140920;12091
1140928;11869
1140937;11718
1140946;11601
1140954;11674
1140962;11713
1140970;11905
1140978;12172
1140987;12613
1140995;13048
1141003;13533
1141011;13842
1141019;14151
1141028;14302
1141036;14444
1141044;14467
1141052;14503
1141060;14435
1141069;14373
1141077;14270
1141085;14247
1141093;14183
1141101;14207
1141110;14139
1141118;14151
1141126;14103
1141134;14113
1141142;14062
1141150;14079
1141159;14093
1141167;14104
1141175;14044
1141183;14065
1141191;13999
1141203;13927
1141211;13714
1141219;13687
1141227;13651
1141235;13679
1141245;13609
1141253;13665
1141261;13674
1141269;13817
1141277;13917
1141286;13992
1141294;13932
1141302;13954
1141310;13926
1141318;13910
1141327;13833
1141335;13759
1141343;13832
1141351;13968
1141359;11921
1141368;7989
1141376;5256
1141384;8561
1141392;15772
1141400;16166
1141409;15268
1141417;14636
1141425;14405
1141433;14102
1141441;13880
1141449;13793
1141458;13739
1141466;13668
1141474;13582
1141485;13574
1141494;13477
1141502;13437
1141510;13291
1141518;13192
1141526;13021
1141534;12881
1141543;12637
1141551;12418
1141559;12167
1141568;11970
1141576;11806
1141585;11791
1141593;11827
1141601;11975
1141609;12108
1141617;12413
1141626;12802
1141634;13349
1141642;13771
1141650;14206
1141658;14479
1141667;14720
1141675;14882
1141683;14967
1141691;14965
1141699;14937
1141708;14856
1141716;14813
1141724;14732
1141732;14678
1141740;14602
1141748;14522
1141757;14507
1141768;14562
1141776;14559
1141784;14619
1141793;14581
1141801;14532
1141809;14432
1141817;14323
1141825;14091
1141833;13996
1141842;13977
1141850;14006
1141858;13987
1141866;13995
1141875;14011
1141884;14117
1141892;14180
1141900;14187
1141908;14138
1141916;14118
1141925;14133
1141933;14173
1141941;14127
1141949;14090
1141957;14008
1141966;14325
1141974;13756
1141982;11195
1141990;7835
1141998;6723
1142007;12955
1142015;17392
1142023;16690
1142031;15736
1142039;15003
1142047;14711
1142059;14345
1142067;14220
1142075;14021
1142083;13884
1142092;13749
1142100;13637
1142108;13517
1142116;13426
1142124;13286
1142132;13144
1142141;13016
1142149;12898
1142157;12684
1142165;12457
1142173;12206
1142182;11944
1142190;11710
1142198;11598
1142207;11584
1142215;11662
1142224;11797
1142232;11996
1142240;12332
1142248;12802
1142256;13264
1142265;13643
1142273;13981
1142281;14164
1142289;14320
1142297;14367
1142306;14382
1142314;14351
1142322;14344
1142330;14228
1142341;14175
1142350;14153
1142358;14053
1142366;13934
1142374;13802
1142382;13755
1142391;13717
1142399;13696
1142407;13648
1142415;13634
1142423;13589
1142431;13564
1142440;13434
1142448;13295
1142456;13229
1142464;13223
1142472;13205
1142481;13212
1142489;13333
1142497;13425
1142505;13544
1142513;13606
1142522;13652
1142531;13653
1142539;13682
1142547;13654
1142555;13613
1142564;13562
1142572;13549
1142580;13462
1142588;13907
1142596;12775
1142605;9473
1142613;6014
1142624;8523
1142632;15838
1142640;16172
1142649;15310
1142657;14565
1142665;14285
1142673;13990
1142681;13751
1142690;13640
1142698;13528
1142706;13418
1142714;13216
1142722;13058
1142730;12974
1142739;12932
1142747;12686
1142755;12663
1142763;12702
1142771;12650
1142780;12399
1142788;12163
1142796;11840
1142804;11681
1142812;11526
1142821;11496
1142829;11485
1142837;11501
1142845;11696
1142853;12255
1142863;12661
1142871;13112
1142879;13478
1142887;13876
1142895;14106
1142907;14404
1142915;14489
1142923;14506
1142931;14486
1142939;14530
1142948;14472
1142956;14459
1142964;14376
1142972;14365
1142980;14315
1142989;14333
1142997;14285
1143005;14306
1143013;14286
1143021;14304
1143030;14229
1143038;14162
1143046;14177
1143054;14298
1143062;14244
1143070;14258
1143079;14178
1143087;14076
1143095;13827
1143103;13713
1143111;13599
1143120;13671
1143128;13768
1143136;13849
1143144;13793
1143152;13785
1143161;13798
1143170;13870
1143178;13764
1143188;13730
1143196;13749
1143205;13749
1143213;13736
1143222;13640
1143230;13678
1143238;13803
1143247;11654
1143255;7584
1143263;4923
1143271;8401
1143279;15417
1143288;15933
1143296;15141
1143304;14552
1143312;14356
1143320;14184
1143329;13952
1143337;13775
1143345;13589
1143353;13552
1143361;13381
1143369;13316
1143378;13222
1143386;13197
1143394;13103
1143402;13053
1143410;12987
1143419;12918
1143427;12683
1143435;12427
1143443;12115
1143451;11934
1143460;11711
1143468;11695
1143479;11782
1143487;11959
1143495;12104
1143504;12436
1143512;12834
1143520;13352
1143528;13764
1143537;14126
1143546;14375
1143554;14554
1143562;14584
1143570;14612
1143578;14590
1143587;14585
1143595;14469
1143603;14333
1143611;14398
1143619;14438
1143628;14343
1143636;14307
1143644;14186
1143652;14202
1143660;14200
1143668;14203
1143677;14155
1143685;14237
1143693;14211
1143701;14214
1143709;14116
1143718;14155
1143726;14053
1143734;13940
1143742;13707
1143750;13696
1143762;13637
1143770;13632
1143778;13697
1143786;13891
1143794;13965
1143803;14049
1143811;14041
1143819;14046
1143827;13962
1143836;13902
1143845;13768
1143853;13288
1143861;13008
1143869;13198
1143877;12939
1143886;14251
1143894;12495
1143902;8667
1143910;6000
1143918;9235
1143927;15878
1143935;16259
1143943;15191
1143951;14383
1143959;14581
1143967;14319
1143976;14033
1143984;14131
1143992;13875
1144000;13792
1144008;13705
1144017;13584
1144025;13388
1144033;13334
1144044;13262
1144052;13214
1144061;13092
1144069;12994
1144077;12770
1144085;12571
1144093;12250
1144102;12175
1144110;12086
1144118;12074
1144126;12017
1144134;12111
1144143;12236
1144151;12527
1144159;12850
1144168;13319
1144176;13805
1144185;14244
1144193;14595
1144201;14817
1144209;14743
1144217;14901
1144226;15011
1144234;15011
1144242;14860
1144250;14793
1144258;14727
1144266;14704
1144275;14649
1144283;14635
1144291;14529
1144299;14513
1144307;14642
1144316;14658
1144327;14519
1144335;14644
1144343;14538
1144351;14483
1144360;14394
1144368;14378
1144376;14237
1144384;14198
1144392;13918
1144401;13858
1144409;13824
1144417;13814
1144425;13756
1144433;13748
1144442;13743
1144450;14025
1144458;14135
1144466;14071
1144474;13993
1144483;14024
1144491;13955
1144500;13916
1144508;13835
1144516;13788
1144525;13646
1144533;14050
1144541;13497
1144549;10495
1144557;6504
1144566;5334
1144574;11582
1144582;16041
1144590;15695
1144598;14775
1144610;14222
1144618;13938
1144626;13609
1144634;13526
1144642;13401
1144650;13380
1144659;13247
1144667;13223
1144675;13171
1144683;13148
1144691;13027
1144700;12934
1144708;12760
1144716;12588
1144724;12352
1144732;12145
1144741;11920
1144749;11696
1144757;11475
1144765;11421
1144773;11407
1144782;11516
1144790;11663
1144798;11873
1144806;12238
1144814;12695
1144823;13122
1144832;13486
1144840;13750
1144848;13932
1144856;14028
1144865;14060
1144873;14075
1144881;14049
1144889;14039
1144900;14094
1144909;14045
1144917;14007
1144925;13913
1144933;13855
1144941;13737
1144950;13752
1144958;13757
1144966;13791
1144974;13771
1144982;13776
1144990;13799
1144999;13792
1145007;13750
1145015;13790
1145023;13662
1145031;13538
1145040;13434
1145048;13470
1145056;13485
1145064;13537
1145072;13616
1145081;13702
1145089;13872
1145097;13968
1145105;14035
1145113;14032
1145122;14092
1145130;14084
1145138;14114
1145147;14019
1145155;13964
1145164;13904
1145172;14214
1145182;11427
1145190;7596
1145198;5805
1145208;11509
1145216;16520
1145224;16032
1145232;15098
1145240;14576
1145249;14306
1145257;13994
1145265;13808
1145273;13700
1145281;13608
1145289;13540
1145298;13427
1145306;13393
1145314;13309
1145322;13253
1145330;13160
1145339;13043
1145347;12832
1145355;12708
1145363;12480
1145371;12234
1145380;11986
1145388;11782
1145396;11622
1145404;11614
1145412;11650
1145421;11811
1145429;11987
1145437;12300
1145445;12678
1145453;13155
1145465;13745
1145473;14088
1145481;14311
1145489;14418
1145497;14494
1145506;14552
1145515;14566
1145523;14559
1145531;14508
1145539;14445
1145548;14348
1145556;14285
1145564;14210
1145572;14166
1145580;14108
1145588;14094
1145597;14065
1145605;14057
1145613;14056
1145621;14112
1145629;14088
1145638;14033
1145646;13902
1145654;13751
1145662;13552
1145670;13499
1145679;13444
1145687;13459
1145695;13503
1145703;13623
1145711;13658
1145720;13813
1145728;13840
1145736;13903
1145747;13902
1145755;13971
1145764;13932
1145772;13909
1145780;13822
1145788;13733
1145796;13914
1145805;13425
1145813;10999
1145822;7702
1145830;6465
1145838;12525
1145847;17088
1145855;16338
1145863;15298
1145871;14536
1145879;14220
1145887;13941
1145896;13663
1145904;13611
1145912;13509
1145920;13494
1145928;13449
1145937;13419
1145945;13346
1145953;13318
1145961;13169
1145969;13073
1145978;12912
1145986;12782
1145994;12513
1146002;12348
1146010;12090
1146019;11920
1146030;11805
1146038;11882
1146046;11948
1146054;12134
1146063;12373
1146071;12707
1146079;13117
1146087;13643
1146095;14021
1146104;14408
1146112;14618
1146120;14814
1146128;14870
1146137;14972
1146146;14917
1146154;14888
1146162;14789
1146170;14836
1146178;14705
1146186;14740
1146195;14661
1146203;14668
1146211;14587
1146219;14555
1146227;14465
1146236;14508
1146244;14438
1146252;14503
1146260;14415
1146268;14299
1146277;14036
1146285;13997
1146293;13852
1146301;13929
1146309;13867
1146321;14080
1146329;14132
1146337;14365
1146345;14322
1146353;14426
1146362;14208
1146370;14338
1146378;14198
1146386;14361
1146394;14087
1146403;14191
1146411;13818
1146419;14516
1146427;13260
1146436;10032
1146445;6345
1146453;6367
1146461;13635
1146469;16598
1146477;15665
1146486;15009
1146494;14237
1146502;14145
1146510;13671
1146518;13653
1146526;13371
1146535;13435
1146543;13168
1146551;13281
1146559;13116
1146567;13135
1146576;12924
1146584;12889
1146592;12617
1146603;12660
1146611;12297
1146620;12312
1146628;11837
1146636;11795
1146644;11401
1146652;11540
1146661;11391
1146669;11665
1146677;11587
1146685;11953
1146693;12149
1146702;12733
1146710;13068
1146718;13533
1146726;13703
1146734;13922
1146743;13875
1146751;13950
1146759;13855
1146768;13953
1146776;13734
1146785;13775
1146793;13645
1146801;13686
1146809;13525
1146817;13628
1146825;13501
1146834;13556
1146842;13508
1146850;13602
1146858;13471
1146866;13581
1146875;13545
1146886;13804
1146894;13709
1146902;13844
1146910;13661
1146919;13633
1146927;13356
1146935;13385
1146943;13300
1146951;13444
1146960;13360
1146968;13463
1146976;13391
1146984;13525
1146992;13566
1147001;13638
1147009;13564
1147017;13579
1147025;13473
1147033;13496
1147042;13417
1147050;13454
1147058;13503
1147066;13927
1147074;11688
1147082;7296
1147092;4338
1147100;7197
1147108;14911
1147116;16008
1147124;15350
1147133;14760
1147141;14416
1147149;14103
1147157;13895
1147169;13931
1147177;13850
1147185;13852
1147193;13742
1147201;13768
1147209;13659
1147218;13593
1147226;13447
1147234;13383
1147242;13199
1147250;13059
1147259;12796
1147267;12599
1147275;12290
1147283;12112
1147291;11919
1147300;11928
1147308;11907
1147316;12072
1147324;12216
1147332;12508
1147341;12853
1147349;13330
1147357;13713
1147365;14143
1147373;14371
1147382;14563
1147390;14611
1147398;14691
1147406;14693
1147415;14720
1147423;14630
1147432;14558
1147440;14431
1147450;14423
1147458;14318
1147468;14291
1147476;14213
1147484;14219
1147492;14156
1147500;14199
1147508;14164
1147517;14173
1147525;14113
1147533;14139
1147541;14114
1147549;14085
1147558;13883
1147566;13740
1147574;13714
1147582;13791
1147590;13805
1147599;13845
1147607;13809
1147615;13893
1147623;13972
1147631;14123
1147640;14079
1147648;14080
1147656;13992
1147664;13946
1147672;13870
1147681;13870
1147689;13801
1147697;13754
1147705;14051
1147713;12490
1147721;8852
1147730;5724
1147741;10777
1147749;16360
1147757;16072
1147766;15196
1147774;14676
1147782;14493
1147791;14204
1147799;14120
1147807;14044
1147816;14030
1147824;13929
1147832;13834
1147840;13689
1147848;13610
1147857;13465
1147865;13389
1147873;13216
1147881;13080
1147889;12879
1147898;12652
1147906;12357
1147914;12102
1147922;11854
1147930;11706
1147939;11694
1147947;11757
1147955;11829
1147963;11996
1147971;12300
1147980;12731
1147988;13199
1147996;13607
1148004;13971
1148012;14282
1148024;14608
1148032;14793
1148040;14716
1148048;14743
1148056;14728
1148065;14710
1148073;14671
1148081;14687
1148090;14628
1148098;14618
1148106;14599
1148115;14610
1148123;14568
1148131;14575
1148139;14570
1148147;14587
1148156;14551
1148164;14526
1148172;14422
1148180;14338
1148188;14129
1148197;13965
1148205;13864
1148213;13900
1148221;13919
1148229;13961
1148238;14078
1148246;14179
1148254;14288
1148262;14309
1148270;14307
1148279;14290
1148287;14308
1148295;14270
1148306;14259
1148314;14236
1148323;14109
1148331;14433
1148339;13113
1148347;9899
1148355;7238
1148364;8500
1148372;16036
1148380;17024
1148388;16030
1148396;15140
1148406;14654
1148414;14382
1148422;14059
1148430;13926
1148438;13806
1148446;13722
1148455;13660
1148463;13618
1148471;13744
1148479;13860
1148487;13888
1148496;13913
1148504;13919
1148512;13899
1148520;13813
1148528;13681
1148537;13555
1148545;13358
1148553;13230
1148561;13171
1148569;13200
1148578;13251
1148589;13506
1148597;13741
1148605;14027
1148613;14381
1148622;14771
1148630;15114
1148638;15349
1148646;15519
1148654;15609
1148663;15681
1148671;15634
1148679;15553
1148687;15447
1148695;15285
1148703;15189
1148712;15140
1148721;15107
1148729;15059
1148737;14957
1148745;14856
1148754;14819
1148762;14801
1148770;14779
1148778;14724
1148786;14645
1148795;14461
1148803;14338
1148811;14343
1148819;14327
1148827;14303
1148836;14392
1148844;14439
1148852;14492
1148860;14536
1148871;14529
1148880;14540
1148888;14413
1148896;14368
1148904;14296
1148912;14199
1148921;14068
1148929;13871
1148937;14060
1148945;13122
1148953;10315
1148962;7402
1148970;6977
1148978;13658
1148986;16499
1148994;15668
1149002;14745
1149011;14090
1149019;13853
1149027;13536
1149035;13335
1149044;13249
1149053;13155
1149061;13062
1149069;13002
1149077;12877
1149085;12804
1149094;12691
1149102;12590
1149110;12434
1149118;12303
1149126;12123
1149135;11910
1149143;11623
1149151;11406
1149162;11234
1149170;11221
1149179;11200
1149187;11242
1149195;11351
1149203;11612
1149211;11976
1149220;12365
1149228;12726
1149236;13032
1149244;13264
1149252;13506
1149261;13611
1149269;13681
1149277;13675
1149285;13664
1149293;13593
1149302;13548
1149310;13465
1149318;13420
1149326;13342
1149334;13293
1149342;13238
1149351;13204
1149359;13200
1149368;13177
1149376;13170
1149384;13190
1149393;13171
1149401;13168
1149409;13120
1149417;13002
1149425;12778
1149434;12685
1149445;12696
1149453;12753
1149461;12769
1149469;12810
1149478;12874
1149486;12980
1149494;13021
1149502;13024
1149510;13012
1149519;12986
1149527;12947
1149535;12965
1149543;12879
1149551;12832
1149560;12918
1149568;12867
1149576;10648
1149584;6924
1149592;4831
1149601;8937
1149609;15189
1149617;15317
1149625;14493
1149633;13868
1149641;13565
1149650;13287
1149658;13113
1149666;13053
1149674;12999
1149682;12953
1149691;12871
1149700;12833
1149708;12713
1149716;12666
1149726;12594
1149735;12563
1149743;12403
1149751;12236
1149760;11988
1149768;11740
1149777;11459
1149785;11235
1149793;11022
1149801;10988
1149809;10965
1149818;11071
1149826;11232
1149834;11551
1149842;11902
1149850;12361
1149859;12703
1149867;13008
1149875;13173
1149883;13334
1149891;13369
1149900;13406
1149908;13407
1149916;13421
1149924;13330
1149932;13305
1149940;13257
1149949;13272
1149957;13244
1149965;13220
1149973;13200
1149981;13250
1149990;13238
1149998;13250
1150009;13295
1150017;13411
1150025;13434
1150034;13501
1150042;13523
1150050;13511
1150058;13401
1150067;13255
1150076;13277
1150084;13367
1150092;13472
1150100;13510
1150108;13545
1150117;13642
1150125;13731
1150133;13915
1150141;13899
1150149;13930
1150158;13930
1150166;13972
1150174;13947
1150182;13949
1150190;13827
1150199;14043
1150207;13822
1150215;11343
1150223;7461
1150231;5710
1150239;10466
1150248;16165
1150256;16076
1150264;15239
1150272;14717
1150280;14501
1150289;14199
1150300;14080
1150308;14002
1150316;13908
1150324;13822
1150333;13794
1150341;13738
1150349;13743
1150357;13671
1150365;13623
1150375;13481
1150383;13365
1150391;13192
1150399;13051
1150407;12815
1150416;12635
1150424;12455
1150432;12353
1150440;12303
1150448;12381
1150457;12460
1150465;12667
1150473;12958
1150481;13372
1150489;13764
1150498;14164
1150506;14434
1150514;14680
1150522;14746
1150530;14776
1150538;14727
1150547;14707
1150555;14618
1150563;14537
1150571;14468
1150583;14473
1150591;14465
1150599;14441
1150607;14360
1150615;14367
1150623;14327
1150632;14287
1150640;14214
1150648;14238
1150656;14214
1150664;14235
1150673;14172
1150682;14206
1150690;14169
1150698;14121
1150706;13924
1150715;13745
1150723;13708
1150731;13740
1150739;13740
1150747;13744
1150756;13759
1150764;13858
1150772;13965
1150780;14078
1150788;14030
1150797;14021
1150805;13989
1150813;13988
1150821;13937
1150829;13876
1150838;13752
1150846;13900
1150854;13791
1150865;10227
1150873;6792
1150882;6442
1150890;13113
1150898;16477
1150906;15867
1150914;15017
1150922;14616
1150931;14410
1150939;14116
1150947;13996
1150955;13878
1150963;13819
1150972;13681
1150980;13607
1150988;13508
1150996;13474
1151005;13379
1151014;13264
1151022;13133
1151030;13003
1151038;12844
1151046;12684
1151055;12470
1151063;12236
1151071;12067
1151079;11990
1151087;11976
1151096;12058
1151104;12174
1151112;12373
1151120;12671
1151128;13037
1151137;13460
1151148;13986
1151156;14286
1151164;14447
1151172;14514
1151181;14541
1151189;14529
1151197;14537
1151205;14454
1151213;14376
1151222;14311
1151230;14286
1151238;14208
1151246;14196
1151254;14166
1151262;14140
1151271;14092
1151279;14066
1151287;14035
1151295;14055
1151303;14046
1151312;14046
1151321;14074
1151329;14085
1151337;14036
1151345;14028
1151354;13985
1151362;13925
1151370;13700
1151378;13565
1151386;13552
1151395;13607
1151403;13617
1151411;13621
1151419;13665
1151430;13854
1151439;13972
1151447;13946
1151455;13881
1151463;13881
1151471;13832
1151480;13809
1151488;13732
1151496;13677
1151504;13665
1151512;13891
1151521;12102
1151529;8572
1151537;6153
1151545;8743
1151553;15806
1151561;16269
1151570;15345
1151578;14582
1151586;14316
1151594;14010
1151602;13808
1151611;13728
1151619;13654
1151627;13588
1151636;13585
1151644;13587
1151653;13537
1151661;13434
1151669;13340
1151677;13199
1151685;13053
1151694;12875
1151702;12713
1151710;12523
1151721;12248
1151729;12108
1151738;11928
1151746;11872
1151754;11901
1151762;12006
1151770;12128
1151779;12385
1151787;12750
1151795;13144
1151803;13523
1151811;13861
1151820;14119
1151828;14260
1151836;14344
1151844;14379
1151852;14391
1151860;14360
1151869;14339
1151877;14308
