Tempo (ms);Valor
720395;14617
720403;14757
720411;14763
720420;14705
720428;14684
720436;14635
720444;14592
720452;14526
720461;14413
720469;14354
720477;14273
720485;14227
720493;14102
720502;14082
720510;14019
720518;13999
720526;13934
720534;13984
720542;13915
720551;13978
720559;13918
720567;13971
720575;13932
720583;14004
720592;13889
720600;13945
720608;13820
720616;13723
720624;13459
720633;13470
720641;13392
720649;13508
720657;13443
720665;13540
720674;13459
720682;13676
720692;13745
720700;13797
720708;13708
720717;13682
720725;13598
720733;13667
720741;13526
720749;13521
720758;13979
720766;12803
720774;8992
720782;5542
720790;6176
720798;14136
720807;16243
720815;15601
720823;14601
720832;14270
720840;13840
720849;13651
720857;13399
720865;13414
720873;13304
720881;13366
720890;13219
720898;13304
720906;13193
720914;13263
720922;13090
720931;13065
720939;12845
720947;12802
720955;12502
720963;12361
720972;12043
720980;11878
720988;11688
720998;11817
721006;11834
721015;12045
721023;12110
721031;12550
721039;12874
721047;13373
721055;13587
721064;13962
721072;14038
721080;14213
721088;14164
721096;14306
721105;14235
721113;14323
721121;14220
721129;14259
721137;14125
721146;14132
721154;14018
721162;14026
721170;13913
721178;13857
721187;13777
721195;13747
721203;13707
721211;13726
721219;13676
721228;13731
721236;13698
721244;13728
721252;13752
721260;13797
721268;13814
721277;13705
721285;13565
721296;13470
721304;13437
721313;13550
721321;13529
721329;13641
721337;13623
721345;13744
721353;13826
721362;13921
721370;13873
721378;13911
721386;13882
721394;13917
721403;13877
721411;13866
721419;13791
721427;14427
721435;13359
721444;9662
721452;5907
721460;6250
721468;14313
721476;16960
721485;16226
721493;15309
721501;14941
721509;14549
721517;14257
721526;14031
721534;13974
721542;13844
721550;13822
721558;13694
721566;13666
721575;13504
721583;13518
721591;13323
721602;13199
721610;13053
721619;12845
721627;12587
721635;12329
721643;12050
721651;11876
721660;11778
721668;11789
721676;11862
721684;12040
721692;12219
721701;12582
721709;12969
721717;13470
721725;13801
721733;14171
721742;14341
721750;14528
721758;14494
721766;14566
721774;14454
721783;14524
721791;14382
721799;14349
721807;14179
721815;14220
721823;14131
721832;14166
721840;14013
721848;14028
721856;13887
721864;13948
721873;13833
721881;13889
721889;13775
721897;13863
721908;13829
721917;13939
721925;13869
721933;13953
721941;13828
721949;13742
721958;13412
721966;13386
721974;13318
721982;13477
721990;13407
721999;13505
722007;13553
722015;13775
722023;13794
722031;13889
722040;13790
722048;13882
722056;13786
722064;13851
722072;13683
722081;13721
722089;13571
722097;14227
722105;13050
722113;9549
722121;5951
722130;6569
722138;14600
722146;16988
722154;16017
722162;15151
722171;14615
722179;14427
722187;14022
722195;13959
722206;13833
722215;13946
722223;13758
722231;13695
722239;13526
722247;13493
722256;13291
722264;13264
722272;13055
722280;12978
722288;12692
722297;12564
722305;12231
722313;12045
722321;11792
722329;11771
722338;11673
722346;11829
722354;11857
722362;12143
722370;12392
722378;12900
722387;13290
722395;13723
722403;14013
722411;14300
722419;14387
722428;14514
722436;14514
722444;14542
722452;14481
722460;14475
722469;14399
722477;14387
722485;14305
722493;14290
722501;14259
722513;14347
722521;14306
722529;14315
722537;14262
722545;14348
722554;14270
722562;14315
722570;14257
722578;14147
722586;13994
722595;13924
722603;13868
722611;13860
722619;13841
722627;13999
722636;14083
722644;14166
722652;14243
722660;14256
722668;14251
722676;14217
722685;14185
722693;14139
722701;14138
722709;14003
722717;13932
722726;14163
722734;13562
722742;10811
722750;7449
722758;6780
722767;13213
722775;17539
722783;16818
722791;15794
722799;14976
722808;14513
722819;14148
722827;14008
722835;13850
722843;13707
722852;13635
722860;13566
722868;13498
722876;13398
722884;13297
722893;13089
722901;12971
722909;12796
722917;12589
722925;12320
722934;12097
722942;11805
722950;11698
722958;11459
722966;11541
722974;11543
722983;11817
722991;11920
722999;12268
723007;12582
723015;13090
723024;13439
723032;13850
723040;14000
723048;14235
723056;14264
723065;14416
723073;14354
723081;14481
723089;14348
723097;14375
723106;14234
723117;14233
723125;14221
723133;14122
723141;14047
723150;14093
723158;14054
723166;14074
723174;13926
723182;13915
723191;13609
723199;13629
723207;13587
723215;13684
723223;13537
723231;13661
723240;13668
723248;13876
723256;13958
723264;14099
723272;14010
723281;14019
723289;13990
723297;14005
723305;13927
723313;13864
723322;13723
723330;13720
723338;13662
723346;11717
723354;8254
723363;7485
723371;10401
723379;16892
723387;16967
723395;16081
723404;15002
723412;14292
723423;13858
723431;13580
723439;13379
723448;13311
723456;13165
723464;13094
723472;13004
723480;12983
