Tempo (ms);Valor
1680966;15045
1680975;15022
1680983;14731
1680991;14651
1680999;14389
1681007;14393
1681016;14176
1681024;14246
1681032;14043
1681040;14089
1681048;13919
1681057;13996
1681065;13818
1681073;13891
1681082;13715
1681090;13788
1681098;13666
1681107;13743
1681115;13605
1681123;13679
1681131;13574
1681139;13670
1681148;13590
1681156;13571
1681164;13341
1681172;13317
1681180;13226
1681189;13302
1681197;13252
1681205;13324
1681213;13296
1681221;13420
1681230;13432
1681241;13656
1681249;13578
1681257;13668
1681265;13537
1681274;13649
1681282;13493
1681290;13567
1681298;13395
1681306;14069
1681315;13010
1681323;10004
1681331;6674
1681339;6833
1681347;13792
1681356;16000
1681364;15262
1681372;14627
1681380;14262
1681388;14162
1681396;13814
1681405;13736
1681413;13578
1681422;13591
1681430;13473
1681438;13486
1681447;13378
1681455;13375
1681463;13268
1681471;13259
1681479;13171
1681488;13111
1681496;12954
1681504;12869
1681512;12688
1681520;12477
1681532;12200
1681540;12147
1681548;11821
1681556;11863
1681564;11756
1681573;11912
1681581;11965
1681589;12293
1681597;12580
1681605;13159
1681614;13505
1681622;13990
1681630;14207
1681638;14472
1681646;14529
1681655;14640
1681663;14593
1681671;14642
1681679;14562
1681687;14560
1681695;14526
1681704;14529
1681712;14422
1681720;14355
1681728;14240
1681736;14237
1681745;14176
1681754;14154
1681762;14159
1681770;14131
1681778;14127
1681787;14118
1681795;14090
1681803;14054
1681814;14112
1681822;14241
1681831;14120
1681839;14174
1681847;14084
1681855;14189
1681863;14174
1681872;14218
1681880;14167
1681888;14147
1681896;13939
1681904;13840
1681913;13765
1681921;13732
1681929;13692
1681937;13725
1681945;13725
1681954;13786
1681962;13829
1681970;13819
1681978;13760
1681986;13725
1681994;13714
1682003;13677
1682011;13643
1682019;13562
1682027;13489
1682035;14044
1682044;13176
1682052;9986
1682060;6628
1682068;6213
1682077;13444
1682086;15979
1682096;15099
1682104;14519
1682112;14227
1682120;14051
1682130;13766
1682138;13611
1682146;13504
1682154;13475
1682162;13414
1682171;13361
1682179;13268
1682187;13221
1682195;13139
1682203;13034
1682212;12981
1682220;12836
1682228;12744
1682236;12525
1682244;12373
1682253;12111
1682261;11913
1682269;11627
1682277;11532
1682285;11419
1682294;11493
1682302;11525
1682310;11779
1682318;12006
1682326;12479
1682334;12878
1682343;13410
1682351;13677
1682359;14017
1682367;14089
1682378;14306
1682387;14411
1682395;14381
1682403;14330
1682411;14268
1682419;14218
1682428;14183
1682437;14136
1682445;14116
1682453;14066
1682461;14072
1682470;13994
1682478;13985
1682486;13927
1682494;13946
1682502;13876
1682511;13897
1682519;13825
1682527;13864
1682535;13802
1682543;13891
1682552;13815
1682560;13830
1682568;13767
1682576;13846
1682584;13707
1682593;13739
1682601;13485
1682609;13450
1682617;13298
1682625;13381
1682633;13282
1682642;13456
1682650;13420
1682661;13674
1682669;13740
1682678;13796
1682686;13759
1682694;13784
1682702;13697
1682710;13733
1682718;13642
1682727;13642
1682735;13521
1682744;14216
1682752;13397
1682760;10328
1682769;6365
1682777;5706
1682785;12731
1682793;16022
1682801;15398
1682810;14754
1682818;14351
1682826;14242
1682834;13867
1682842;13853
1682851;13677
1682859;13751
1682867;13576
1682875;13629
1682883;13449
1682892;13546
1682900;13360
1682908;13375
1682916;13175
1682924;13216
1682932;12958
1682941;12903
1682952;12580
1682960;12445
1682968;12128
1682977;11946
1682985;11710
1682993;11733
1683001;11633
1683009;11818
1683017;11923
1683026;12347
1683034;12687
1683042;13283
1683050;13634
1683059;14127
1683068;14282
1683076;14527
1683084;14498
1683092;14672
1683100;14547
1683109;14632
1683117;14436
1683125;14463
1683133;14272
1683141;14328
1683150;14124
1683158;14182
1683166;14019
1683174;14080
1683182;13909
1683191;14001
1683199;13906
1683207;13987
1683215;13831
1683223;13937
1683235;13893
1683243;14006
1683251;13873
1683259;13927
1683267;13788
1683276;13843
1683284;13703
1683292;13808
1683300;13708
1683308;13785
1683316;13574
1683325;13486
1683333;13213
1683341;13301
1683349;13231
1683357;13347
1683366;13266
1683374;13438
1683382;13395
1683391;13628
1683399;13514
1683408;13630
1683416;13504
1683424;13590
1683432;13491
1683440;13570
1683449;13426
1683457;13489
1683465;13446
1683473;14046
1683481;12321
1683490;8555
1683498;5392
1683506;7725
1683546;16360
1683554;15928
1683562;15251
1683570;14865
